,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
011918-12 green_LineProfile_1.tif,85.22,114.0,101.0,0.09869,1.541,48.34,11
011918-12 green_LineProfile_2.tif,15.53,114.0,101.0,0.1133,3.888,99.13,5
011918-12 green_LineProfile_3.tif,15.09,114.0,19.0,0.2564,17.56,99.33,4
011918-12 green_LineProfile_4.tif,15.37,114.0,18.0,0.1794,10.31,99.49,4
011918-12 green_LineProfile_5.tif,15.27,114.0,21.0,0.1649,11.43,99.47,4
011918-12 green_LineProfile_6.tif,72.17,114.0,104.0,0.09416,1.761,66.41,11
011918-12 green_LineProfile_7.tif,72.29,114.0,104.0,0.1211,2.419,51.79,7
011918-12 green_LineProfile_8.tif,15.64,114.0,101.0,0.149,8.496,99.04,5
011918-13 green_LineProfile_1.tif,4.505,9.173,6.0,0.006921,0.01767,23.25,2
011918-13 green_LineProfile_2.tif,26.28,29.48,29.0,0.0101,0.01479,36.86,9
011918-13 green_LineProfile_3.tif,23.24,32.78,24.0,0.01862,0.0717,39.71,8
011918-13 green_LineProfile_4.tif,23.26,35.69,24.0,0.02173,0.1191,24.56,7
011918-13 green_LineProfile_5.tif,14.0,16.78,16.0,0.01615,0.02954,33.35,5
011918-13 green_LineProfile_6.tif,13.89,16.52,15.0,0.01295,0.02096,33.08,5
011918-13 green_LineProfile_7.tif,16.14,20.9,20.0,0.01877,0.03291,39.35,6
011918-13 green_LineProfile_8.tif,10.32,15.64,14.0,0.01615,0.04279,33.61,3
011918-14 green_LineProfile_1.tif,2.176,5.541,5.0,0.05675,0.1103,36.25,1
011918-14 green_LineProfile_2.tif,2.088,10.38,7.0,0.1401,0.7348,97.58,1
011918-14 green_LineProfile_3.tif,2.118,10.3,7.0,0.08258,0.3843,65.95,1
011918-14 green_LineProfile_4.tif,2.028,5.358,3.0,0.1105,0.1917,93.96,1
011918-14 green_LineProfile_5.tif,2.085,5.419,3.0,0.09909,0.1685,100.0,1
011918-14 green_LineProfile_6.tif,2.134,5.502,3.0,0.1025,0.1792,100.0,1
011918-14 green_LineProfile_7.tif,2.128,5.648,3.0,0.1242,0.2495,100.0,1
011918-14 green_LineProfile_8.tif,2.103,5.747,3.0,0.1183,0.2553,91.15,1
020118-12 green_LineProfile_1.tif,3.15,9.767,8.0,0.0466,0.1419,58.45,2
020118-12 green_LineProfile_2.tif,30.32,59.53,54.0,0.09753,1.482,92.87,7
020118-12 green_LineProfile_3.tif,40.26,61.73,55.0,0.09124,0.6109,80.2,6
020118-12 green_LineProfile_4.tif,24.86,59.9,55.0,0.1003,1.845,83.25,5
020118-12 green_LineProfile_5.tif,12.61,69.52,58.0,0.1532,2.916,85.68,3
020118-12 green_LineProfile_6.tif,24.54,69.63,58.0,0.09776,2.457,88.64,4
020118-12 green_LineProfile_7.tif,29.6,70.84,61.0,0.09996,1.545,91.93,5
020118-12 green_LineProfile_8.tif,24.89,69.82,59.0,0.09124,1.027,90.15,6
020118-13 green_LineProfile_1.tif,27.68,37.18,29.0,0.03228,0.213,58.41,4
020118-13 green_LineProfile_2.tif,59.51,63.95,62.0,0.01464,0.0376,43.81,7
020118-13 green_LineProfile_3.tif,1.739,8.932,6.0,0.05808,0.1671,75.17,1
020118-13 green_LineProfile_4.tif,55.19,61.66,56.0,0.01052,0.05025,40.63,5
020118-13 green_LineProfile_5.tif,3.0,6.846,6.0,0.06716,0.114,85.24,2
020118-13 green_LineProfile_6.tif,1.59,12.87,7.0,0.0527,0.3109,100.0,1
020118-13 green_LineProfile_7.tif,1.684,13.42,6.0,0.05708,0.3483,91.69,1
020118-13 green_LineProfile_8.tif,1.682,13.08,5.0,0.06527,0.3677,99.97,1
020118-14 green_LineProfile_1.tif,3.192,4.808,4.0,0.005687,0.004596,46.99,2
020118-14 green_LineProfile_2.tif,5.201,12.78,6.0,0.01259,0.05216,41.11,3
020118-14 green_LineProfile_3.tif,1.405,66.96,46.0,0.02972,1.134,99.11,1
020118-14 green_LineProfile_4.tif,5.059,68.49,51.0,0.04306,1.381,99.17,2
020118-14 green_LineProfile_5.tif,5.383,66.47,24.0,0.04607,1.838,98.78,3
020118-14 green_LineProfile_6.tif,5.358,67.73,31.0,0.08876,3.4,99.55,3
020118-14 green_LineProfile_7.tif,5.377,68.24,31.0,0.1637,6.076,99.65,2
020118-14 green_LineProfile_8.tif,5.476,65.78,31.0,0.146,5.738,99.86,2
101017-12 green_LineProfile_1.tif,40.1,60.49,50.0,0.04544,0.4226,44.65,6
101017-12 green_LineProfile_2.tif,19.09,61.79,24.0,0.04347,1.033,70.57,5
101017-12 green_LineProfile_3.tif,17.29,61.07,24.0,0.04816,0.8887,81.64,4
101017-12 green_LineProfile_4.tif,22.02,26.59,24.0,0.0171,0.04116,30.89,8
101017-12 green_LineProfile_5.tif,6.18,13.22,11.0,0.03373,0.09601,61.95,3
101017-12 green_LineProfile_6.tif,3.235,12.93,11.0,0.02753,0.1351,67.88,2
