,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
041918_12 green_LineProfile_2.tif,38.65,59.0,59.0,0.2562,2.365,69.94,6
041918_12 green_LineProfile_3.tif,43.08,59.0,59.0,0.1387,1.563,63.38,4
041918_12 green_LineProfile_4.tif,20.28,59.0,59.0,0.2338,4.231,99.63,4
041918_12 green_LineProfile_5.tif,20.31,59.0,59.0,0.1833,3.892,98.36,5
041918_12 green_LineProfile_6.tif,20.4,59.0,59.0,0.2127,5.175,99.58,5
041918_12 green_LineProfile_7.tif,26.11,59.0,59.0,0.2772,6.191,97.01,4
041918_12 green_LineProfile_8.tif,18.52,59.0,59.0,0.3871,9.712,98.06,4
041918_13 green_LineProfile_2.tif,4.689,89.0,43.0,0.1216,6.433,99.86,2
041918_13 green_LineProfile_3.tif,10.21,89.0,69.0,0.08684,4.397,98.78,4
041918_13 green_LineProfile_4.tif,4.439,89.0,69.0,0.07942,4.026,99.96,2
041918_13 green_LineProfile_5.tif,4.045,89.0,69.0,0.06278,3.231,99.91,3
041918_13 green_LineProfile_6.tif,19.81,89.0,63.0,0.07013,2.76,97.27,5
041918_13 green_LineProfile_7.tif,34.38,80.82,58.0,0.07407,1.545,85.65,4
041918_13 green_LineProfile_8.tif,41.62,74.1,55.0,0.07753,1.547,76.22,4
041918_14b green_LineProfile_1.tif,20.09,90.0,89.0,0.2549,9.425,94.51,4
041918_14b green_LineProfile_2.tif,4.253,90.0,89.0,0.1935,8.948,99.93,2
041918_14b green_LineProfile_3.tif,47.05,90.0,86.0,0.0786,2.167,67.85,4
041918_14b green_LineProfile_4.tif,9.214,90.0,78.0,0.07255,3.202,98.22,3
041918_14b green_LineProfile_5.tif,17.58,21.2,19.0,0.0263,0.04734,16.98,5
041918_14b green_LineProfile_6.tif,45.25,75.93,61.0,0.03405,0.4875,47.57,7
041918_14b green_LineProfile_7.tif,8.185,25.98,13.0,0.04366,0.27,27.42,4
041918_14b green_LineProfile_8.tif,48.03,68.13,56.0,0.02755,0.27,44.14,3
042018_12 green_LineProfile_1.tif,37.05,61.2,48.0,0.01791,0.2852,90.69,6
042018_12 green_LineProfile_2.tif,46.32,58.87,56.0,0.00979,0.06858,98.88,2
042018_12 green_LineProfile_3.tif,39.74,58.33,56.0,0.01141,0.08328,85.83,6
042018_12 green_LineProfile_4.tif,47.85,56.83,53.0,0.007903,0.03392,89.22,2
042018_12 green_LineProfile_5.tif,44.78,59.38,56.0,0.01554,0.1052,94.32,5
042018_12 green_LineProfile_6.tif,45.56,60.37,56.0,0.02192,0.1778,97.85,6
042018_12 green_LineProfile_7.tif,44.78,60.86,56.0,0.02048,0.171,97.92,4
042018_12 green_LineProfile_8.tif,49.36,58.64,56.0,0.008026,0.03569,79.57,5
042018_13 green_LineProfile_1.tif,5.434,107.0,87.0,0.1547,9.677,99.97,2
042018_13 green_LineProfile_2.tif,7.277,107.0,87.0,0.1105,6.866,99.97,2
042018_13 green_LineProfile_3.tif,8.003,107.0,87.0,0.1136,7.062,99.97,2
042018_13 green_LineProfile_4.tif,9.896,107.0,28.0,0.1321,7.818,99.95,2
042018_13 green_LineProfile_5.tif,10.1,107.0,87.0,0.1581,9.549,99.94,2
042018_13 green_LineProfile_6.tif,10.44,107.0,86.0,0.1654,10.14,99.97,2
042018_13 green_LineProfile_7.tif,10.51,107.0,82.0,0.1401,8.641,99.95,2
042018_13 green_LineProfile_8.tif,10.95,107.0,84.0,0.1138,6.573,99.94,2
042018_14 green_LineProfile_1.tif,46.06,73.82,62.0,0.06363,0.951,71.56,8
042018_14 green_LineProfile_2.tif,48.48,76.88,62.0,0.07403,1.201,90.39,6
042018_14 green_LineProfile_3.tif,41.02,78.99,62.0,0.08258,1.553,76.88,6
042018_14 green_LineProfile_4.tif,2.217,73.35,58.0,0.08107,2.813,95.64,1
042018_14 green_LineProfile_5.tif,2.203,72.86,60.0,0.07866,3.105,94.99,1
042018_14 green_LineProfile_6.tif,2.231,73.23,55.0,0.06105,2.286,93.52,1
042018_14 green_LineProfile_7.tif,2.313,81.9,60.0,0.06085,2.308,91.09,1
042018_14 green_LineProfile_8.tif,2.31,97.0,62.0,0.04176,1.314,100.0,1
042318_13 green_LineProfile_1.tif,1.332,2.399,2.0,0.000844,0.0004503,100.0,1
042318_13 green_LineProfile_2.tif,1.882,3.878,3.0,0.0052,0.005243,65.14,1
042318_13 green_LineProfile_3.tif,2.682,3.28,3.0,0.004311,0.001289,66.08,2
042318_13 green_LineProfile_4.tif,8.391,11.23,9.0,0.01105,0.01742,98.54,3
042318_13 green_LineProfile_5.tif,2.465,3.112,3.0,0.00264,0.0008541,74.11,1
042318_13 green_LineProfile_7.tif,1.0,2.513,2.0,0.003916,0.003283,63.29,1
042318_15 green_LineProfile_1.tif,54.08,70.98,68.0,0.008436,0.06645,42.12,10
042318_15 green_LineProfile_2.tif,2.657,4.314,3.0,0.001112,0.001173,51.44,2
042318_15 green_LineProfile_3.tif,1.0,2.462,2.0,0.003534,0.003187,66.44,1
042318_15 green_LineProfile_4.tif,2.642,4.49,4.0,0.007208,0.007804,94.33,2
042318_15 green_LineProfile_5.tif,4.417,7.05,6.0,0.006279,0.01026,52.82,2
042318_15 green_LineProfile_6.tif,7.366,11.61,11.0,0.005265,0.01014,49.04,3
042318_15 green_LineProfile_7.tif,10.73,13.46,13.0,0.004785,0.005154,30.43,4
042318_15 green_LineProfile_8.tif,2.794,21.5,13.0,0.008951,0.07728,52.03,2
