,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
092717-12 green_LineProfile_1.tif,39.41,41.71,40.0,0.02583,0.04023,52.71,2
092717-12 green_LineProfile_2.tif,2.029,8.372,7.0,0.01522,0.05712,90.46,1
092717-12 green_LineProfile_3.tif,2.607,8.641,8.0,0.03783,0.08766,100.0,1
092717-12 green_LineProfile_4.tif,2.423,5.49,3.0,0.01115,0.02221,100.0,1
092717-12 green_LineProfile_5.tif,4.299,8.693,8.0,0.05523,0.1282,60.92,2
092717-12 green_LineProfile_6.tif,3.762,6.889,6.0,0.01748,0.0285,66.36,2
092717-12 green_LineProfile_7.tif,7.621,8.554,8.0,0.01229,0.005739,63.68,2
092717-12 green_LineProfile_8.tif,1.0,1.486,1.0,0.002733,0.0006642,100.0,1
092717-13 green_LineProfile_1.tif,2.735,19.37,16.0,0.09034,0.818,71.95,2
092717-13 green_LineProfile_2.tif,7.345,25.56,16.0,0.0915,0.888,85.71,2
092717-13 green_LineProfile_3.tif,6.293,24.74,16.0,0.07499,0.6037,88.01,2
092717-13 green_LineProfile_4.tif,11.11,21.93,16.0,0.09587,0.5699,83.71,3
092717-13 green_LineProfile_5.tif,10.58,24.29,16.0,0.1183,0.8998,90.97,2
092717-13 green_LineProfile_6.tif,1.619,28.97,18.0,0.1452,1.529,75.09,1
092717-13 green_LineProfile_7.tif,9.079,35.97,16.0,0.08962,1.309,63.71,3
092717-13 green_LineProfile_8.tif,1.812,18.85,16.0,0.07566,0.5341,44.99,1
092717-14 green_LineProfile_1.tif,24.09,78.16,54.0,0.1533,4.456,90.54,2
092717-14 green_LineProfile_2.tif,28.44,79.41,55.0,0.2341,7.505,96.09,3
092717-14 green_LineProfile_3.tif,34.35,77.8,56.0,0.1636,4.259,97.89,4
092717-14 green_LineProfile_4.tif,36.99,78.67,65.0,0.1782,4.353,98.8,2
092717-14 green_LineProfile_5.tif,42.72,80.51,65.0,0.1618,4.026,97.9,3
092717-14 green_LineProfile_6.tif,36.9,80.13,65.0,0.4067,9.949,99.03,8
092717-14 green_LineProfile_7.tif,37.45,79.37,56.0,0.1123,2.51,99.79,4
092717-14 green_LineProfile_8.tif,58.57,68.38,65.0,0.05045,0.212,58.99,6
093017-12 green - v1_LineProfile_1.tif,45.27,72.64,59.0,0.05773,0.7773,62.29,13
093017-12 green - v1_LineProfile_2.tif,45.23,72.64,59.0,0.05663,0.7986,58.99,13
093017-12 green - v1_LineProfile_3.tif,45.25,72.53,64.0,0.04857,0.8582,52.45,15
093017-12 green - v1_LineProfile_4.tif,45.15,72.64,62.0,0.04955,0.923,49.62,14
093017-12 green - v1_LineProfile_5.tif,73.01,107.0,106.0,0.07567,1.295,49.9,14
093017-12 green - v1_LineProfile_6.tif,42.7,72.36,62.0,0.05138,1.016,83.32,11
093017-12 green - v1_LineProfile_7.tif,42.16,72.75,64.0,0.03746,0.755,49.84,13
093017-12 green - v1_LineProfile_8.tif,37.05,107.0,106.0,0.03573,1.474,95.5,11
093017-12 green - v2_LineProfile_1.tif,38.05,107.0,107.0,0.07022,2.883,91.24,6
093017-12 green - v2_LineProfile_2.tif,9.122,107.0,91.0,0.05447,2.663,99.68,3
093017-12 green - v2_LineProfile_3.tif,84.13,91.82,88.0,0.00872,0.03919,40.18,7
093017-12 green - v2_LineProfile_4.tif,86.41,93.89,87.0,0.006734,0.02726,35.25,16
093017-12 green - v2_LineProfile_5.tif,92.1,98.66,93.0,0.01127,0.03969,14.49,22
093017-12 green - v2_LineProfile_6.tif,17.1,30.88,26.0,0.01337,0.08647,32.52,3
