,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
081516-12 ChanA_LineProfile_1.tif,24.85,27.12,26.0,0.003295,0.004456,59.82,4
081516-12 ChanA_LineProfile_2.tif,24.53,26.78,25.0,0.007071,0.006553,76.91,3
081516-12 ChanA_LineProfile_3.tif,24.28,26.09,25.0,0.01118,0.01014,72.08,2
081516-12 ChanA_LineProfile_4.tif,24.07,25.61,25.0,0.01151,0.008819,69.63,2
081516-12 ChanA_LineProfile_5.tif,1.667,3.414,2.0,0.004403,0.006048,100.0,1
081516-13 ChanA_LineProfile_1.tif,1.897,45.0,41.0,0.04427,1.314,100.0,1
081516-13 ChanA_LineProfile_2.tif,1.698,45.0,42.0,0.05093,1.174,100.0,1
081516-13 ChanA_LineProfile_3.tif,1.838,45.0,19.0,0.05531,1.317,100.0,1
081516-13 ChanA_LineProfile_4.tif,2.651,45.0,42.0,0.05104,1.343,99.98,2
081516-13 ChanA_LineProfile_5.tif,2.377,45.0,40.0,0.06037,1.578,100.0,1
081516-14 ChanA_LineProfile_1.tif,7.178,45.0,25.0,0.06081,1.157,99.93,2
081516-14 ChanA_LineProfile_2.tif,7.096,45.0,25.0,0.05652,1.17,99.48,2
081516-14 ChanA_LineProfile_3.tif,12.39,45.0,25.0,0.04513,0.7861,99.18,3
081516-14 ChanA_LineProfile_4.tif,12.62,45.0,23.0,0.05383,0.8291,98.12,3
081516-14 ChanA_LineProfile_5.tif,12.48,45.0,24.0,0.05251,0.7171,96.45,3
101916-11 ChanA_LineProfile_1.tif,1.142,2.557,2.0,0.006742,0.004769,100.0,1
101916-11 ChanA_LineProfile_2.tif,1.0,1.743,1.0,0.002399,0.0008912,100.0,1
101916-11 ChanA_LineProfile_3.tif,1.0,2.424,2.0,0.003242,0.002919,100.0,1
101916-11 ChanA_LineProfile_4.tif,1.0,2.25,1.0,0.004386,0.00388,100.0,1
101916-11 ChanA_LineProfile_5.tif,32.84,38.43,34.0,0.01124,0.03898,67.15,4
101916-11 ChanA_LineProfile_6.tif,31.26,43.97,40.0,0.02512,0.1618,70.79,4
101916-11 ChanA_LineProfile_7.tif,31.37,47.5,38.0,0.04864,0.4714,84.48,7
101916-11 ChanA_LineProfile_8.tif,10.08,48.96,38.0,0.08243,1.696,92.23,3
101916-12 ChanA_LineProfile_1.tif,60.97,104.0,94.0,0.2833,8.254,99.16,4
101916-12 ChanA_LineProfile_2.tif,60.84,104.0,92.0,0.3858,12.59,98.38,8
101916-12 ChanA_LineProfile_3.tif,61.09,104.0,104.0,0.3575,9.697,99.99,2
101916-12 ChanA_LineProfile_4.tif,60.69,104.0,93.0,0.4928,16.09,88.57,8
101916-12 ChanA_LineProfile_5.tif,60.84,104.0,93.0,0.3526,10.85,95.78,6
101916-12 ChanA_LineProfile_6.tif,78.18,104.0,92.0,0.3156,6.098,74.63,3
101916-12 ChanA_LineProfile_7.tif,61.11,104.0,101.0,0.3257,8.673,97.89,2
101916-12 ChanA_LineProfile_8.tif,61.25,104.0,93.0,0.3945,9.938,98.58,2
101916-14 ChanA_LineProfile_2.tif,54.77,70.76,58.0,0.03285,0.2985,41.97,7
101916-14 ChanA_LineProfile_3.tif,20.65,24.06,22.0,0.0267,0.04514,34.32,4
101916-14 ChanA_LineProfile_4.tif,32.91,50.36,48.0,0.03814,0.347,55.93,7
101916-14 ChanA_LineProfile_5.tif,16.6,25.63,18.0,0.0355,0.195,40.64,6
101916-14 ChanA_LineProfile_6.tif,11.35,25.74,24.0,0.06588,0.3019,60.04,2
101916-14 ChanA_LineProfile_7.tif,9.667,21.24,11.0,0.04537,0.2183,51.27,2
101916-14 ChanA_LineProfile_8.tif,31.41,49.45,48.0,0.02478,0.3251,45.05,4
102116-12 ChanA_LineProfile_1.tif,83.33,104.0,89.0,0.03542,0.539,68.66,10
102116-12 ChanA_LineProfile_2.tif,78.24,104.0,97.0,0.03603,0.7389,83.83,9
102116-12 ChanA_LineProfile_3.tif,78.03,104.0,88.0,0.03976,0.8465,75.44,9
102116-12 ChanA_LineProfile_4.tif,73.17,104.0,88.0,0.04063,0.8368,73.64,13
102116-12 ChanA_LineProfile_5.tif,68.47,103.9,93.0,0.04404,0.8964,68.19,12
102116-12 ChanA_LineProfile_6.tif,59.5,98.34,87.0,0.04039,0.828,67.69,9
102116-12 ChanA_LineProfile_7.tif,24.41,89.99,78.0,0.04987,1.606,86.51,6
102116-12 ChanA_LineProfile_8.tif,24.31,89.68,78.0,0.06223,2.33,88.75,6
102116-13 ChanA_LineProfile_1.tif,60.18,75.75,66.0,0.02832,0.236,50.81,9
102116-13 ChanA_LineProfile_2.tif,64.12,71.6,66.0,0.02622,0.09548,24.74,9
102116-13 ChanA_LineProfile_3.tif,55.66,70.93,57.0,0.02011,0.1656,45.12,7
102116-13 ChanA_LineProfile_4.tif,55.46,75.58,58.0,0.02388,0.2276,53.88,7
102116-13 ChanA_LineProfile_5.tif,55.31,79.73,57.0,0.02234,0.2876,55.9,9
102116-13 ChanA_LineProfile_6.tif,36.72,83.62,53.0,0.02472,0.5506,91.16,6
102116-13 ChanA_LineProfile_7.tif,31.05,73.94,60.0,0.02561,0.698,77.12,7
102116-13 ChanA_LineProfile_8.tif,27.43,69.73,51.0,0.02666,0.7664,75.79,7
102116-14 ChanA_LineProfile_1.tif,50.75,52.47,52.0,0.01491,0.01355,31.77,7
102116-14 ChanA_LineProfile_2.tif,50.68,52.36,52.0,0.01867,0.01845,25.89,7
102116-14 ChanA_LineProfile_3.tif,100.6,102.9,101.0,0.0139,0.02229,32.18,9
102116-14 ChanA_LineProfile_4.tif,100.6,103.0,102.0,0.01721,0.02668,28.24,11
102116-14 ChanA_LineProfile_5.tif,100.3,103.0,102.0,0.01949,0.03477,29.64,16
102116-14 ChanA_LineProfile_6.tif,99.7,103.0,102.0,0.02473,0.06028,26.05,14
102116-14 ChanA_LineProfile_7.tif,24.12,65.36,59.0,0.01929,0.4291,56.19,7
102516-11 ChanA - v1_LineProfile_1.tif,5.582,6.69,6.0,0.0596,0.03302,30.33,2
102516-11 ChanA - v1_LineProfile_2.tif,5.446,6.893,6.0,0.1907,0.1379,36.83,2
102516-11 ChanA - v1_LineProfile_3.tif,5.498,6.829,6.0,0.2209,0.147,31.33,2
102516-11 ChanA - v1_LineProfile_4.tif,5.435,6.834,6.0,0.2548,0.1784,30.98,2
102516-11 ChanA - v1_LineProfile_5.tif,5.495,6.746,6.0,0.2803,0.1753,33.67,2
102516-11 ChanA - v1_LineProfile_6.tif,5.52,6.692,6.0,0.2999,0.1758,38.98,2
102516-11 ChanA - v1_LineProfile_7.tif,5.579,6.65,6.0,0.1796,0.09619,33.25,2
102516-11 ChanA - v1_LineProfile_8.tif,5.51,6.602,6.0,0.1959,0.1069,31.02,2
102516-11 ChanA - v2_LineProfile_1.tif,15.4,21.47,16.0,0.009509,0.01531,47.01,4
102516-11 ChanA - v2_LineProfile_2.tif,5.371,6.933,6.0,0.005961,0.004656,46.22,2
102516-11 ChanA - v2_LineProfile_3.tif,2.153,3.243,3.0,0.004536,0.002472,91.71,1
102516-11 ChanA - v2_LineProfile_4.tif,5.16,6.826,6.0,0.01136,0.00946,66.24,2
102516-11 ChanA - v2_LineProfile_5.tif,2.08,3.289,3.0,0.00668,0.004037,41.62,1
102516-11 ChanA - v2_LineProfile_6.tif,1.98,3.355,3.0,0.0141,0.009713,38.16,1
102516-11 ChanA - v2_LineProfile_7.tif,1.985,3.284,3.0,0.01503,0.009775,47.22,1
102516-12 ChanA - v1_LineProfile_1.tif,30.24,76.0,63.0,0.7357,21.53,87.41,8
102516-12 ChanA - v1_LineProfile_2.tif,52.09,76.0,67.0,0.4535,7.752,60.1,12
102516-12 ChanA - v1_LineProfile_3.tif,49.16,76.0,75.0,0.6777,11.84,65.32,11
102516-12 ChanA - v1_LineProfile_4.tif,49.05,76.0,75.0,0.5468,9.378,64.22,11
102516-12 ChanA - v1_LineProfile_5.tif,52.04,76.0,75.0,0.7277,10.29,61.45,13
102516-12 ChanA - v1_LineProfile_6.tif,49.21,76.0,75.0,0.4491,7.332,65.34,12
102516-12 ChanA - v1_LineProfile_7.tif,52.3,76.0,75.0,0.7154,10.32,61.72,13
102516-12 ChanA - v1_LineProfile_8.tif,56.11,76.0,63.0,0.3862,5.387,61.33,15
102516-12 ChanA - v2_LineProfile_1.tif,56.61,69.71,64.0,0.02237,0.1462,54.26,15
102516-12 ChanA - v2_LineProfile_2.tif,56.14,80.41,63.0,0.03054,0.4163,71.14,15
102516-12 ChanA - v2_LineProfile_3.tif,49.13,85.28,67.0,0.0471,0.956,70.85,11
102516-12 ChanA - v2_LineProfile_4.tif,41.33,92.77,70.0,0.0787,2.354,70.23,11
102516-12 ChanA - v2_LineProfile_5.tif,52.25,111.0,104.0,0.1278,4.993,82.29,13
102516-12 ChanA - v2_LineProfile_6.tif,55.45,111.0,105.0,0.2084,8.665,85.0,13
102516-12 ChanA - v2_LineProfile_7.tif,55.49,111.0,98.0,0.3499,15.33,86.76,14
102516-13 ChanA - v1_LineProfile_1.tif,72.25,106.8,91.0,0.2217,4.124,66.16,22
102516-13 ChanA - v1_LineProfile_2.tif,1.0,2.419,2.0,0.0184,0.01576,66.53,1
102516-13 ChanA - v1_LineProfile_3.tif,69.56,103.9,95.0,0.2019,2.993,71.72,21
102516-13 ChanA - v1_LineProfile_4.tif,66.24,107.1,91.0,0.3832,8.437,71.61,19
102516-13 ChanA - v1_LineProfile_5.tif,69.08,107.2,80.0,0.4846,8.524,61.4,17
102516-13 ChanA - v1_LineProfile_8.tif,65.52,107.2,95.0,0.6279,12.0,68.67,18
102516-13 ChanA - v2_LineProfile_1.tif,45.06,111.0,95.0,0.03994,1.505,90.65,13
102516-13 ChanA - v2_LineProfile_2.tif,52.35,110.9,91.0,0.05098,1.576,85.77,14
102516-13 ChanA - v2_LineProfile_3.tif,59.28,108.0,95.0,0.07918,2.13,79.54,17
102516-13 ChanA - v2_LineProfile_4.tif,59.48,107.2,95.0,0.09819,2.732,78.78,18
102516-13 ChanA - v2_LineProfile_5.tif,69.02,107.4,87.0,0.1262,2.861,71.01,20
102516-13 ChanA - v2_LineProfile_6.tif,69.03,106.9,87.0,0.1682,3.645,72.87,20
102516-13 ChanA - v2_LineProfile_7.tif,65.53,106.7,87.0,0.2264,5.019,77.09,20
110916_22 ChanA_LineProfile_1.tif,6.063,23.91,14.0,0.1016,0.8372,36.61,2
110916_22 ChanA_LineProfile_2.tif,22.23,120.0,113.0,0.04035,1.692,83.63,5
110916_22 ChanA_LineProfile_3.tif,57.78,74.02,59.0,0.1103,0.8367,24.25,10
110916_22 ChanA_LineProfile_4.tif,12.07,23.84,18.0,0.08913,0.486,20.18,4
110916_22 ChanA_LineProfile_5.tif,57.33,74.21,59.0,0.1281,0.9284,25.8,12
110916_23 ChanA_LineProfile_1.tif,25.67,33.55,28.0,0.01412,0.07359,55.02,5
110916_23 ChanA_LineProfile_2.tif,26.31,34.33,29.0,0.05211,0.1545,36.56,7
110916_23 ChanA_LineProfile_3.tif,22.41,33.7,29.0,0.02667,0.1079,48.74,6
110916_23 ChanA_LineProfile_4.tif,26.33,34.33,29.0,0.02645,0.1193,49.35,7
110916_23 ChanA_LineProfile_5.tif,1.742,14.34,10.0,0.01301,0.06712,99.46,1
110916_23 ChanA_LineProfile_6.tif,4.447,6.837,6.0,0.01737,0.02798,38.63,2
110916_23 ChanA_LineProfile_7.tif,8.685,10.85,10.0,0.02269,0.02675,28.31,3
110916_23 ChanA_LineProfile_8.tif,8.692,11.09,10.0,0.02731,0.03423,23.74,3
111516-12 ChanA_LineProfile_2.tif,2.48,8.375,7.0,0.5867,2.416,100.0,1
111516-12 ChanA_LineProfile_3.tif,2.434,8.232,6.0,0.382,1.211,100.0,1
111516-12 ChanA_LineProfile_4.tif,2.41,33.29,4.0,0.3936,6.294,99.87,1
111516-12 ChanA_LineProfile_5.tif,2.336,34.89,7.0,0.3657,6.22,99.92,1
111516-12 ChanA_LineProfile_6.tif,2.214,8.908,4.0,0.3387,1.413,71.46,1
111516-12 ChanA_LineProfile_7.tif,1.607,50.6,5.0,0.2125,2.726,95.49,1
111516-12 ChanA_LineProfile_8.tif,26.09,53.0,48.0,0.147,1.711,71.33,4
111516-13 ChanA_LineProfile_1.tif,6.17,14.86,7.0,0.08078,0.3704,76.43,3
