,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
120816-13 ChanA_LineProfile_1.tif,20.58,24.08,22.0,0.03781,0.09154,22.06,4
120816-13 ChanA_LineProfile_2.tif,42.42,52.51,45.0,0.04464,0.286,37.61,7
120816-13 ChanA_LineProfile_3.tif,70.11,120.0,104.0,0.06794,1.972,72.69,4
120816-13 ChanA_LineProfile_4.tif,67.45,120.0,112.0,0.141,4.199,79.1,10
120816-13 ChanA_LineProfile_5.tif,67.08,120.0,101.0,0.1989,5.902,80.68,11
120816-13 ChanA_LineProfile_6.tif,78.11,120.0,101.0,0.1349,2.841,76.0,13
120816-13 ChanA_LineProfile_7.tif,100.3,102.2,101.0,0.02709,0.02704,24.04,10
120816-13 ChanA_LineProfile_8.tif,51.65,53.57,53.0,0.0152,0.01551,31.45,6
120816-14 ChanA_LineProfile_1.tif,8.23,71.94,45.0,0.1595,6.317,68.09,3
120816-14 ChanA_LineProfile_2.tif,43.1,47.88,46.0,0.08531,0.2857,11.63,9
120816-14 ChanA_LineProfile_3.tif,60.11,65.25,62.0,0.06179,0.211,11.87,11
120816-14 ChanA_LineProfile_4.tif,32.06,65.87,62.0,0.06993,1.486,42.41,5
120816-14 ChanA_LineProfile_5.tif,26.34,120.0,117.0,0.1456,8.355,97.44,5
120816-14 ChanA_LineProfile_7.tif,3.333,120.0,117.0,0.2555,19.48,100.0,1
120816-14 ChanA_LineProfile_8.tif,3.179,120.0,116.0,0.179,13.16,100.0,1
120816-15 ChanA_LineProfile_1.tif,76.38,99.64,90.0,0.06567,0.6572,39.75,7
120816-15 ChanA_LineProfile_2.tif,105.3,120.0,114.0,0.07323,0.6009,46.4,7
120816-15 ChanA_LineProfile_3.tif,100.8,120.0,115.0,0.1302,1.271,67.83,5
120816-15 ChanA_LineProfile_4.tif,105.2,120.0,115.0,0.07905,0.6854,59.99,5
120816-15 ChanA_LineProfile_5.tif,101.0,120.0,116.0,0.04143,0.4871,68.45,5
120816-15 ChanA_LineProfile_6.tif,71.15,120.0,89.0,0.04189,1.083,79.02,7
120816-15 ChanA_LineProfile_7.tif,107.1,116.6,109.0,0.01506,0.08585,46.2,7
120816-15 ChanA_LineProfile_8.tif,102.7,120.0,113.0,0.01701,0.1547,35.76,8
121616-111 ChanA_LineProfile_1.tif,25.54,96.0,65.0,0.04978,1.646,96.85,7
121616-111 ChanA_LineProfile_2.tif,35.04,96.0,65.0,0.0493,1.677,88.69,7
121616-111 ChanA_LineProfile_3.tif,51.02,96.0,95.0,0.03704,1.009,67.05,7
121616-111 ChanA_LineProfile_4.tif,20.02,33.77,29.0,0.0224,0.1478,18.21,4
121616-111 ChanA_LineProfile_5.tif,18.4,37.68,31.0,0.03159,0.381,34.58,4
121616-111 ChanA_LineProfile_6.tif,14.18,27.61,23.0,0.05033,0.2844,50.3,3
121616-112 ChanA_LineProfile_1.tif,66.63,97.0,95.0,0.07724,1.451,91.03,22
121616-112 ChanA_LineProfile_2.tif,75.21,97.0,95.0,0.05605,0.756,85.88,13
121616-112 ChanA_LineProfile_3.tif,75.36,97.0,94.0,0.04629,0.6679,57.92,19
121616-112 ChanA_LineProfile_4.tif,83.31,93.65,89.0,0.0261,0.1149,37.57,16
121616-112 ChanA_LineProfile_5.tif,58.13,72.8,66.0,0.03017,0.2398,22.04,9
121616-112 ChanA_LineProfile_6.tif,38.33,88.77,84.0,0.04805,0.8061,69.68,6
121616-112 ChanA_LineProfile_7.tif,46.65,60.82,58.0,0.03032,0.1914,30.53,14
121616-112 ChanA_LineProfile_8.tif,42.46,66.97,64.0,0.03754,0.4812,52.19,10
121616-113 ChanA_LineProfile_1.tif,54.44,97.0,85.0,0.06486,1.592,96.85,7
121616-113 ChanA_LineProfile_2.tif,54.18,97.0,81.0,0.05842,1.468,92.6,9
121616-113 ChanA_LineProfile_3.tif,60.09,97.0,78.0,0.04197,0.7337,89.12,9
121616-113 ChanA_LineProfile_4.tif,89.16,97.0,90.0,0.02674,0.1149,20.18,16
121616-113 ChanA_LineProfile_5.tif,43.28,53.7,47.0,0.02604,0.169,24.34,8
121616-113 ChanA_LineProfile_6.tif,9.579,55.0,49.0,0.03879,0.8091,88.31,2
121616-113 ChanA_LineProfile_7.tif,5.393,56.57,31.0,0.05226,1.049,93.21,1
121616-113 ChanA_LineProfile_8.tif,1.776,45.89,23.0,0.07115,1.671,83.47,1
121716-13 ChanA_LineProfile_1.tif,10.52,71.0,59.0,0.1726,6.796,99.94,2
121716-13 ChanA_LineProfile_2.tif,10.78,71.0,62.0,0.1174,4.376,99.98,2
121716-13 ChanA_LineProfile_4.tif,13.22,71.0,62.0,0.1675,7.434,99.94,2
121716-13 ChanA_LineProfile_5.tif,13.04,71.0,65.0,0.1777,7.183,99.77,3
121716-13 ChanA_LineProfile_6.tif,10.66,71.0,65.0,0.2029,8.445,99.93,2
121716-13 ChanA_LineProfile_7.tif,10.43,71.0,70.0,0.1531,6.314,99.9,2
121716-14 ChanA_LineProfile_1.tif,1.0,41.42,18.0,0.02772,0.5986,97.52,1
121716-14 ChanA_LineProfile_2.tif,1.0,41.33,15.0,0.02534,0.5527,99.87,1
121716-14 ChanA_LineProfile_3.tif,1.0,16.71,10.0,0.01586,0.1391,54.24,1
121716-14 ChanA_LineProfile_4.tif,17.2,41.64,36.0,0.03771,0.5575,59.12,2
121716-14 ChanA_LineProfile_5.tif,17.02,41.67,34.0,0.06896,0.9668,61.82,2
121716-14 ChanA_LineProfile_6.tif,17.07,41.64,34.0,0.06059,0.7053,59.26,2
121716-14 ChanA_LineProfile_7.tif,17.18,41.4,36.0,0.04777,0.5802,58.74,2
121716-15 ChanA_LineProfile_1.tif,13.28,17.45,14.0,0.009959,0.02657,22.65,5
121716-15 ChanA_LineProfile_2.tif,18.23,22.86,22.0,0.006579,0.01987,22.82,7
121716-15 ChanA_LineProfile_3.tif,11.17,43.76,33.0,0.01537,0.2327,85.34,5
121716-15 ChanA_LineProfile_4.tif,4.292,50.01,38.0,0.01615,0.3299,93.54,2
121716-15 ChanA_LineProfile_5.tif,6.094,55.38,36.0,0.01979,0.474,93.53,2
121716-15 ChanA_LineProfile_6.tif,26.24,55.93,44.0,0.03165,0.6641,89.67,11
121716-15 ChanA_LineProfile_7.tif,26.26,61.12,36.0,0.03798,0.8772,92.24,10
122116-12 ChanA_LineProfile_1.tif,100.3,117.7,111.0,0.2931,3.18,51.18,16
122116-12 ChanA_LineProfile_2.tif,22.55,120.0,111.0,0.6153,31.41,99.74,3
122116-12 ChanA_LineProfile_3.tif,18.14,120.0,111.0,0.5692,33.76,99.9,3
122116-12 ChanA_LineProfile_4.tif,12.47,120.0,112.0,0.6093,39.52,99.38,3
122116-12 ChanA_LineProfile_5.tif,7.049,120.0,115.0,0.6089,40.65,99.5,3
122116-12 ChanA_LineProfile_6.tif,2.16,120.0,112.0,0.5502,38.79,99.98,2
122116-12 ChanA_LineProfile_7.tif,2.368,120.0,111.0,0.4847,35.23,100.0,2
122116-12 ChanA_LineProfile_8.tif,12.4,120.0,111.0,0.4511,31.2,98.97,3
122116-13 ChanA_LineProfile_1.tif,29.01,51.95,39.0,0.2602,2.985,69.83,7
122116-13 ChanA_LineProfile_2.tif,33.21,51.56,39.0,0.1591,1.802,66.37,9
