,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
072318_12 green_LineProfile_1.tif,3.211,6.18,4.0,0.01198,0.01919,84.37,2
072318_12 green_LineProfile_2.tif,3.167,5.369,4.0,0.0147,0.0179,88.91,1
072318_12 green_LineProfile_3.tif,3.5,7.611,4.0,0.009627,0.02151,80.53,2
072318_12 green_LineProfile_4.tif,43.09,59.94,58.0,0.0469,0.369,57.35,10
072318_12 green_LineProfile_5.tif,45.08,61.32,51.0,0.02047,0.1942,49.62,10
072318_12 green_LineProfile_6.tif,55.29,91.0,71.0,0.05554,0.9421,88.27,14
072318_12 green_LineProfile_7.tif,52.28,91.0,68.0,0.06621,1.481,89.24,9
072318_12 green_LineProfile_8.tif,58.68,91.0,62.0,0.07835,1.721,84.93,14
072318_13 green_LineProfile_1.tif,1.0,1.042,1.0,0.000402,8.372e-06,100.0,1
072318_13 green_LineProfile_2.tif,,,,,,,1
072318_13 green_LineProfile_3.tif,96.82,97.1,97.0,0.003181,0.0004527,100.0,1
072318_13 green_LineProfile_4.tif,93.74,97.97,97.0,0.01903,0.02824,59.71,3
072318_13 green_LineProfile_5.tif,96.62,105.1,101.0,0.02179,0.05724,96.57,2
072318_13 green_LineProfile_6.tif,57.14,119.0,100.0,0.06099,2.004,94.23,5
072318_13 green_LineProfile_7.tif,56.12,73.76,60.0,0.01771,0.207,80.62,4
072318_13 green_LineProfile_8.tif,57.22,64.54,61.0,0.0247,0.06954,22.21,13
072318_14 green_LineProfile_1.tif,4.525,119.0,54.0,0.1177,7.868,99.96,2
072318_14 green_LineProfile_2.tif,9.824,119.0,50.0,0.1051,7.166,100.0,1
072318_14 green_LineProfile_3.tif,9.563,119.0,44.0,0.09747,7.014,100.0,1
072318_14 green_LineProfile_4.tif,9.442,119.0,26.0,0.08797,5.665,100.0,1
072318_14 green_LineProfile_5.tif,8.209,119.0,34.0,0.1081,5.299,100.0,1
072318_14 green_LineProfile_6.tif,6.409,75.63,44.0,0.1139,4.396,77.09,2
072318_14 green_LineProfile_7.tif,5.565,74.75,47.0,0.1094,4.445,76.11,1
072318_14 green_LineProfile_8.tif,4.395,119.0,53.0,0.1316,7.769,99.93,2
072318_16 green_LineProfile_1.tif,30.52,38.61,32.0,0.03179,0.1506,51.47,5
072318_16 green_LineProfile_2.tif,17.12,46.45,34.0,0.04048,0.7027,88.77,4
072318_16 green_LineProfile_3.tif,30.84,35.79,32.0,0.01546,0.02805,36.85,6
072318_16 green_LineProfile_4.tif,31.24,34.79,34.0,0.007608,0.01248,35.02,5
072318_16 green_LineProfile_5.tif,29.38,75.24,41.0,0.05412,1.073,58.68,8
072318_16 green_LineProfile_6.tif,5.59,102.0,54.0,0.2492,17.47,99.46,3
072318_16 green_LineProfile_7.tif,20.17,102.0,50.0,0.1799,10.86,98.66,3
072318_16 green_LineProfile_8.tif,20.33,86.68,40.0,0.1243,3.85,92.57,3
072318_17 green_LineProfile_1.tif,81.51,104.0,103.0,0.1064,1.525,61.97,17
072318_17 green_LineProfile_2.tif,83.46,104.0,103.0,0.08285,0.7127,72.33,11
072318_17 green_LineProfile_3.tif,76.29,104.0,101.0,0.09689,1.479,74.9,15
072318_17 green_LineProfile_4.tif,68.41,104.0,96.0,0.08602,1.711,82.63,9
072318_17 green_LineProfile_5.tif,68.01,104.0,95.0,0.1083,2.63,74.99,9
072318_17 green_LineProfile_6.tif,70.29,104.0,91.0,0.07962,1.932,69.42,5
072318_17 green_LineProfile_7.tif,82.3,104.0,104.0,0.0542,0.7195,78.43,6
072318_17 green_LineProfile_8.tif,77.81,104.0,102.0,0.07707,0.9023,78.56,8
072318_18 green_LineProfile_1.tif,12.07,57.13,52.0,0.08432,1.95,90.56,5
072318_18 green_LineProfile_2.tif,13.08,52.44,41.0,0.07451,1.546,77.6,5
072318_18 green_LineProfile_3.tif,5.588,57.41,37.0,0.0764,2.032,81.76,2
072318_18 green_LineProfile_4.tif,4.946,50.89,32.0,0.05345,1.21,96.73,2
072318_18 green_LineProfile_5.tif,9.004,57.56,32.0,0.05441,1.393,91.7,3
072318_18 green_LineProfile_6.tif,15.04,63.68,31.0,0.0537,1.405,96.23,4
072318_18 green_LineProfile_7.tif,16.37,73.13,32.0,0.07579,2.693,77.03,6
072318_18 green_LineProfile_8.tif,16.76,73.28,35.0,0.06423,2.081,78.26,5
072318_110 green_LineProfile_1.tif,88.1,99.89,95.0,0.02189,0.1482,83.48,6
072318_110 green_LineProfile_2.tif,85.0,103.0,97.0,0.03763,0.3177,91.91,6
072318_110 green_LineProfile_3.tif,82.88,87.88,87.0,0.009601,0.02092,33.72,6
072318_110 green_LineProfile_4.tif,42.05,67.93,49.0,0.0291,0.373,39.58,3
072318_110 green_LineProfile_5.tif,60.3,98.34,91.0,0.02072,0.3755,71.61,5
072318_110 green_LineProfile_6.tif,24.18,82.94,75.0,0.03414,0.9189,88.0,4
072318_110 green_LineProfile_7.tif,39.05,91.88,48.0,0.0342,0.7477,86.91,5
072318_110 green_LineProfile_8.tif,27.59,61.81,55.0,0.04064,0.6495,56.53,4
072318_111 green_LineProfile_1.tif,85.5,100.0,90.0,0.03821,0.2653,85.22,5
072318_111 green_LineProfile_2.tif,80.42,102.7,89.0,0.06221,0.6326,97.71,4
072318_111 green_LineProfile_3.tif,78.43,104.0,95.0,0.03747,0.5191,70.16,7
072318_111 green_LineProfile_4.tif,77.04,83.55,82.0,0.04958,0.143,34.94,8
072318_111 green_LineProfile_5.tif,44.17,104.0,90.0,0.05738,1.979,99.96,3
072318_111 green_LineProfile_6.tif,25.13,104.0,90.0,0.04077,2.124,98.56,3
072318_111 green_LineProfile_7.tif,22.24,104.0,70.0,0.0502,2.679,99.35,6
072318_111 green_LineProfile_8.tif,17.03,104.0,77.0,0.06804,3.461,98.83,5
072318_112 green_LineProfile_1.tif,18.11,104.0,96.0,0.206,11.0,99.63,2
072318_112 green_LineProfile_2.tif,18.28,36.78,27.0,0.03533,0.3845,29.08,5
072318_112 green_LineProfile_3.tif,18.21,104.0,85.0,0.09557,5.523,100.0,1
072318_112 green_LineProfile_4.tif,23.63,67.71,46.0,0.0308,0.7372,59.31,3
072318_112 green_LineProfile_5.tif,20.51,104.0,104.0,0.06044,2.941,96.25,6
072318_112 green_LineProfile_6.tif,16.11,60.98,31.0,0.04121,0.9997,60.39,2
072318_112 green_LineProfile_7.tif,1.0,18.6,11.0,0.0558,0.5316,32.96,1
072318_112 green_LineProfile_8.tif,18.14,60.48,26.0,0.0522,1.099,47.2,3
072418_12 green_LineProfile_2.tif,22.57,25.89,23.0,0.009579,0.0183,50.94,3
072418_12 green_LineProfile_1.tif,13.23,21.73,20.0,0.03176,0.1172,44.48,2
072418_12 green_LineProfile_3.tif,1.01,7.434,3.0,0.008288,0.02716,40.29,1
072418_12 green_LineProfile_4.tif,1.462,14.25,7.0,0.01969,0.1253,53.81,1
072418_12 green_LineProfile_5.tif,4.375,16.59,11.0,0.02079,0.1209,37.94,2
072418_12 green_LineProfile_6.tif,22.81,24.69,23.0,0.002609,0.003261,43.9,3
072418_12 green_LineProfile_7.tif,80.19,84.62,81.0,0.005939,0.0145,23.46,3
072418_12 green_LineProfile_8.tif,75.96,115.0,107.0,0.02288,0.479,89.95,9
072418_13 green_LineProfile_1.tif,1.0,117.0,93.0,0.1827,13.86,100.0,1
072418_13 green_LineProfile_2.tif,1.0,117.0,96.0,0.1197,9.684,100.0,1
072418_13 green_LineProfile_3.tif,14.02,25.68,21.0,0.06298,0.5002,26.39,2
072418_13 green_LineProfile_4.tif,63.14,81.19,72.0,0.03464,0.3614,24.23,9
072418_13 green_LineProfile_5.tif,102.1,116.7,115.0,0.02806,0.2129,33.23,13
072418_13 green_LineProfile_6.tif,91.5,117.0,105.0,0.05246,0.6243,44.76,11
072418_13 green_LineProfile_7.tif,1.0,117.0,107.0,0.09751,6.877,100.0,1
072418_13 green_LineProfile_8.tif,67.63,117.0,107.0,0.04668,1.421,63.56,4
072418_14 green_LineProfile_1.tif,41.97,60.76,48.0,0.04284,0.4341,29.41,6
072418_14 green_LineProfile_2.tif,104.0,110.8,109.0,0.0248,0.09742,30.83,13
072418_14 green_LineProfile_3.tif,95.34,102.2,100.0,0.01586,0.06976,23.87,10
072418_14 green_LineProfile_4.tif,103.2,109.2,104.0,0.01285,0.03713,47.57,4
072418_14 green_LineProfile_5.tif,12.98,16.79,14.0,0.01553,0.03571,55.46,2
072418_14 green_LineProfile_6.tif,61.71,83.68,80.0,0.02256,0.2329,50.42,12
072418_14 green_LineProfile_7.tif,14.18,27.43,18.0,0.01182,0.07389,32.54,3
072418_14 green_LineProfile_8.tif,18.41,22.13,19.0,0.006742,0.007337,98.37,1
072418_17 green_LineProfile_1.tif,59.98,62.89,61.0,0.007742,0.01092,38.02,3
072418_17 green_LineProfile_2.tif,16.22,20.53,19.0,0.004713,0.01558,41.03,1
072418_17 green_LineProfile_3.tif,16.59,26.66,23.0,0.02743,0.1609,58.66,1
072418_17 green_LineProfile_4.tif,20.32,21.47,21.0,0.002702,0.001563,32.28,4
072418_17 green_LineProfile_5.tif,8.788,9.303,9.0,0.000831,0.000214,100.0,1
072418_17 green_LineProfile_6.tif,16.62,26.62,22.0,0.0345,0.2033,44.92,2
072418_17 green_LineProfile_7.tif,18.12,45.52,38.0,0.09581,1.311,51.57,1
072418_17 green_LineProfile_8.tif,16.9,64.77,41.0,0.1584,3.959,89.18,1
072418_18 green_LineProfile_1.tif,13.03,56.98,28.0,0.04845,1.225,62.91,1
072418_18 green_LineProfile_2.tif,52.39,63.69,58.0,0.01991,0.1166,71.83,4
072418_18 green_LineProfile_3.tif,43.08,70.43,53.0,0.06185,0.6375,100.0,1
072418_18 green_LineProfile_4.tif,69.92,82.43,75.0,0.01969,0.08178,63.54,2
072418_18 green_LineProfile_5.tif,1.0,14.7,4.0,0.04036,0.3803,95.13,1
072418_18 green_LineProfile_7.tif,58.21,69.82,59.0,0.02602,0.1511,99.98,2
072418_18 green_LineProfile_8.tif,58.09,64.49,59.0,0.01202,0.03846,92.81,3
072418_19 green_LineProfile_1.tif,69.12,73.53,70.0,0.01376,0.03036,29.03,9
072418_19 green_LineProfile_2.tif,77.9,101.8,87.0,0.05111,0.6531,31.14,4
072418_19 green_LineProfile_3.tif,1.258,4.113,2.0,0.002734,0.004724,73.78,1
072418_19 green_LineProfile_4.tif,76.62,114.0,101.0,0.04811,1.192,52.37,5
072418_19 green_LineProfile_5.tif,1.0,30.03,8.0,0.04566,0.9821,59.96,1
072418_111 green_LineProfile_2.tif,1.0,31.69,6.0,0.02236,0.3707,91.25,1
072418_111 green_LineProfile_3.tif,1.0,63.2,4.0,0.03305,1.025,100.0,1
072418_111 green_LineProfile_4.tif,1.0,34.56,14.0,0.02994,0.7561,100.0,1
072418_111 green_LineProfile_5.tif,32.78,62.81,59.0,0.06456,1.456,57.88,2
072418_111 green_LineProfile_6.tif,,,,,,,1
072418_111 green_LineProfile_7.tif,,,,,,,1
072418_111 green_LineProfile_8.tif,,,,,,,1
072418_112 green_LineProfile_1.tif,1.0,10.17,5.0,0.02502,0.1067,100.0,1
072418_112 green_LineProfile_2.tif,16.5,17.86,17.0,0.004959,0.003373,99.81,1
072418_112 green_LineProfile_3.tif,1.0,6.733,5.0,0.0165,0.05461,98.93,1
072418_112 green_LineProfile_4.tif,,,,,,,1
072418_112 green_LineProfile_5.tif,2.339,6.298,5.0,0.01061,0.01945,99.82,1
072418_112 green_LineProfile_6.tif,52.41,70.0,59.0,0.03175,0.3236,50.03,6
072418_112 green_LineProfile_7.tif,55.18,70.0,60.0,0.06531,0.6863,68.11,6
072418_112 green_LineProfile_8.tif,35.65,70.0,58.0,0.1485,3.807,88.11,4
072418_113 green_LineProfile_1.tif,1.0,66.75,12.0,0.03291,1.002,100.0,1
072418_113 green_LineProfile_2.tif,1.0,6.562,2.0,0.02084,0.09044,48.61,1
072418_113 green_LineProfile_3.tif,1.0,67.35,12.0,0.05034,2.238,100.0,1
072418_113 green_LineProfile_4.tif,1.0,66.34,11.0,0.06502,3.061,100.0,1
072418_113 green_LineProfile_5.tif,11.45,12.55,12.0,0.007181,0.003942,53.43,3
072418_113 green_LineProfile_6.tif,,,,,,,1
072418_113 green_LineProfile_7.tif,,,,,,,1
072418_113 green_LineProfile_8.tif,,,,,,,1
072418_22 green_LineProfile_1.tif,1.0,112.0,80.0,0.2548,14.34,100.0,1
072418_22 green_LineProfile_2.tif,53.38,112.0,77.0,0.1144,4.735,87.14,8
072418_22 green_LineProfile_3.tif,73.83,86.45,78.0,0.0462,0.184,34.41,5
072418_22 green_LineProfile_4.tif,25.97,32.33,30.0,0.03637,0.1537,84.11,3
072418_22 green_LineProfile_5.tif,25.63,32.71,27.0,0.02839,0.1028,58.99,3
072418_22 green_LineProfile_6.tif,25.83,30.52,27.0,0.02548,0.0665,36.91,5
072418_22 green_LineProfile_7.tif,65.28,67.34,66.0,0.02364,0.02681,59.28,4
072418_22 green_LineProfile_8.tif,66.32,69.87,69.0,0.05105,0.1359,87.78,3
072418_23 green_LineProfile_1.tif,1.0,25.33,15.0,0.07548,1.27,36.22,1
072418_23 green_LineProfile_2.tif,56.38,81.49,67.0,0.1354,1.952,44.39,2
072418_23 green_LineProfile_3.tif,59.3,86.29,67.0,0.1103,1.828,55.4,4
072418_23 green_LineProfile_4.tif,63.23,92.37,73.0,0.08633,1.218,60.86,2
072418_23 green_LineProfile_5.tif,67.44,99.35,72.0,0.1169,1.786,51.39,2
072418_23 green_LineProfile_6.tif,23.88,47.02,35.0,0.275,4.069,57.55,1
072418_23 green_LineProfile_7.tif,25.43,40.27,29.0,0.03979,0.3133,50.25,1
072418_23 green_LineProfile_8.tif,64.18,76.22,75.0,0.03117,0.2297,44.95,4
072418_24 green_LineProfile_2.tif,4.062,29.33,22.0,0.07102,0.7018,56.73,2
072418_24 green_LineProfile_3.tif,1.685,36.1,26.0,0.06375,0.8677,91.32,1
072418_24 green_LineProfile_4.tif,20.42,36.62,27.0,0.06082,0.535,93.84,4
072418_24 green_LineProfile_5.tif,23.66,36.95,27.0,0.05385,0.5082,91.17,1
072418_24 green_LineProfile_6.tif,23.87,48.09,36.0,0.1193,1.775,58.76,1
072418_24 green_LineProfile_7.tif,23.95,103.7,37.0,0.3486,16.68,100.0,1
072418_24 green_LineProfile_8.tif,23.98,49.16,36.0,0.1201,1.755,54.36,2
