,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
022118_22a green_LineProfile_1.tif,32.02,103.5,97.0,0.1383,7.276,99.89,2
022118_22a green_LineProfile_2.tif,32.32,103.1,102.0,0.04938,2.588,99.8,2
022118_22a green_LineProfile_3.tif,50.34,78.98,52.0,0.01896,0.3185,57.07,4
022118_22a green_LineProfile_4.tif,30.8,31.29,31.0,0.00379,0.0009191,93.88,1
022118_22a green_LineProfile_5.tif,101.9,103.4,103.0,0.00204,0.002326,62.16,1
022118_22a green_LineProfile_6.tif,102.0,107.1,105.0,0.01295,0.03913,78.03,2
022118_22a green_LineProfile_7.tif,102.1,107.9,104.0,0.02475,0.08989,46.26,4
022118_22a green_LineProfile_8.tif,1.0,11.78,5.0,0.1473,1.088,55.34,1
022118_22b green_LineProfile_1.tif,1.0,30.54,22.0,0.3626,7.764,58.49,1
022118_22b green_LineProfile_2.tif,1.0,30.37,14.0,0.3388,4.783,58.32,1
022118_22b green_LineProfile_3.tif,1.0,30.94,13.0,0.2508,5.062,59.79,1
022118_22b green_LineProfile_4.tif,1.0,30.42,26.0,0.257,4.863,57.47,1
022118_22b green_LineProfile_5.tif,1.0,33.3,24.0,0.2349,4.579,58.66,1
022118_22b green_LineProfile_6.tif,102.8,120.0,118.0,0.1973,2.095,51.31,4
022118_22b green_LineProfile_7.tif,102.8,120.0,118.0,0.1757,1.751,49.43,4
022118_22b green_LineProfile_8.tif,102.9,113.3,111.0,0.1083,0.6747,33.76,3
022118_22c green_LineProfile_1.tif,32.35,103.9,85.0,0.07294,3.779,99.81,2
022118_22c green_LineProfile_2.tif,32.41,103.7,40.0,0.06239,3.237,99.72,2
022118_22c green_LineProfile_3.tif,32.24,103.7,46.0,0.058,2.946,99.72,2
022118_22c green_LineProfile_4.tif,32.17,91.84,69.0,0.08247,3.05,85.68,2
022118_22c green_LineProfile_5.tif,32.23,103.9,69.0,0.08478,3.795,99.78,2
022118_22c green_LineProfile_6.tif,32.25,85.66,69.0,0.06603,1.979,88.79,2
022118_22c green_LineProfile_7.tif,50.64,77.88,58.0,0.04804,0.7019,53.44,3
022118_22c green_LineProfile_8.tif,60.54,77.47,69.0,0.03782,0.334,42.13,5
022118_23a green_LineProfile_1.tif,,,,,,,1
022118_23a green_LineProfile_4.tif,,,,,,,1
022118_23a green_LineProfile_5.tif,117.1,118.9,118.0,0.01256,0.01119,60.07,4
022118_23a green_LineProfile_6.tif,1.0,47.9,1.0,0.1557,5.341,66.79,1
022118_23a green_LineProfile_7.tif,1.0,48.05,2.0,0.08014,2.401,70.23,1
022118_23a green_LineProfile_8.tif,1.0,50.62,1.0,0.1385,5.446,65.96,1
022118_23b green_LineProfile_4.tif,1.0,63.91,21.0,1.5,72.15,52.64,1
022118_23b green_LineProfile_5.tif,1.0,120.0,21.0,1.453,135.8,100.0,1
022118_23b green_LineProfile_6.tif,1.0,120.0,21.0,1.408,131.4,100.0,1
022118_23b green_LineProfile_7.tif,1.0,120.0,21.0,0.7183,62.73,100.0,1
022118_23b green_LineProfile_8.tif,1.0,61.86,21.0,0.7808,34.56,53.87,1
022118_23c green_LineProfile_1.tif,1.0,49.09,11.0,0.24,9.252,65.96,1
022118_23c green_LineProfile_3.tif,1.0,49.78,41.0,0.1739,7.183,66.92,1
022118_23c green_LineProfile_4.tif,1.0,51.14,24.0,0.3234,14.36,63.83,1
022118_23c green_LineProfile_5.tif,1.0,50.42,20.0,0.2107,8.706,65.95,1
022118_23c green_LineProfile_6.tif,1.0,49.8,20.0,0.1841,7.542,67.6,1
022118_23c green_LineProfile_7.tif,1.0,49.61,20.0,0.203,8.06,66.8,1
022118_23c green_LineProfile_8.tif,1.0,49.51,26.0,0.2355,9.491,65.17,1
022118_24a green_LineProfile_1.tif,35.9,120.0,120.0,0.03839,2.044,70.41,2
022118_24a green_LineProfile_2.tif,35.86,120.0,88.0,0.05949,3.526,79.15,2
022118_24a green_LineProfile_3.tif,35.81,120.0,67.0,0.07624,4.67,79.76,2
022118_24a green_LineProfile_4.tif,35.85,120.0,48.0,0.06069,3.992,78.18,3
022118_24a green_LineProfile_5.tif,35.43,120.0,56.0,0.168,8.196,86.43,3
022118_24a green_LineProfile_6.tif,35.78,120.0,68.0,0.1486,10.23,78.96,3
022118_24a green_LineProfile_7.tif,35.91,120.0,86.0,0.2248,15.11,78.28,3
022118_24a green_LineProfile_8.tif,35.87,120.0,79.0,0.2744,18.09,78.23,4
022118_24b green_LineProfile_1.tif,34.25,120.0,84.0,0.5256,34.15,83.56,3
022118_24b green_LineProfile_2.tif,34.18,120.0,84.0,0.5232,34.58,83.07,3
022118_24b green_LineProfile_3.tif,31.47,120.0,84.0,0.6835,47.68,83.71,3
