,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
031918_13 green_LineProfile_2.tif,8.034,12.89,12.0,0.06962,0.1689,65.38,4
031918_13 green_LineProfile_3.tif,1.0,15.2,12.0,0.06298,0.2963,62.34,1
031918_13 green_LineProfile_4.tif,1.0,21.57,12.0,0.07291,0.6701,51.7,1
031918_13 green_LineProfile_5.tif,1.0,23.33,12.0,0.07299,0.8335,55.32,1
031918_13 green_LineProfile_6.tif,1.0,42.83,13.0,0.07274,1.72,77.68,1
031918_13 green_LineProfile_7.tif,1.0,43.15,13.0,0.09998,2.918,81.39,1
031918_13 green_LineProfile_8.tif,1.0,42.9,2.0,0.1487,4.2,88.37,1
031918_14 green_LineProfile_1.tif,22.24,86.0,44.0,0.1049,4.936,99.78,2
031918_14 green_LineProfile_2.tif,29.01,86.0,44.0,0.09511,4.098,98.02,3
031918_14 green_LineProfile_3.tif,29.06,86.0,44.0,0.0866,3.964,96.33,3
031918_14 green_LineProfile_4.tif,21.84,86.0,51.0,0.1081,5.038,99.83,2
031918_14 green_LineProfile_5.tif,29.15,86.0,44.0,0.1153,4.807,98.65,3
031918_14 green_LineProfile_6.tif,22.04,86.0,35.0,0.05413,2.436,99.14,2
031918_14 green_LineProfile_7.tif,22.92,86.0,72.0,0.04537,1.607,99.36,2
031918_14 green_LineProfile_8.tif,23.42,29.72,25.0,0.0129,0.04271,47.67,4
031918_15 green_LineProfile_1.tif,37.61,87.0,42.0,0.02064,0.6009,100.0,1
031918_15 green_LineProfile_2.tif,39.7,43.62,42.0,0.02062,0.03369,26.96,2
031918_15 green_LineProfile_3.tif,85.22,87.0,86.0,0.01897,0.02638,32.65,8
031918_15 green_LineProfile_4.tif,,,,,,,1
031918_15 green_LineProfile_5.tif,31.18,33.43,32.0,0.004507,0.005483,47.81,2
031918_15 green_LineProfile_6.tif,35.9,40.15,37.0,0.01115,0.02675,66.2,6
031918_15 green_LineProfile_7.tif,17.68,37.56,29.0,0.01995,0.1537,59.62,2
031918_15 green_LineProfile_8.tif,1.0,31.49,7.0,0.06653,1.692,99.61,1
031918_17 green_LineProfile_2.tif,58.0,91.0,75.0,0.08609,2.045,100.0,1
031918_17 green_LineProfile_3.tif,58.1,91.0,75.0,0.05083,1.19,100.0,1
031918_17 green_LineProfile_4.tif,60.05,87.71,78.0,0.02595,0.3551,93.98,2
031918_17 green_LineProfile_5.tif,69.95,70.02,70.0,0.000383,1.339e-05,100.0,1
031918_17 green_LineProfile_6.tif,1.346,2.355,2.0,0.001604,0.0008086,100.0,1
031918_17 green_LineProfile_6.tif.1,1.346,2.355,2.0,0.001604,0.0008086,100.0,1
031918_17 green_LineProfile_7.tif,1.0,9.297,1.0,0.02169,0.1216,75.53,1
031918_17 green_LineProfile_8.tif,33.04,55.57,39.0,0.04224,0.6898,53.73,2
031918_18 green_LineProfile_1.tif,41.1,76.0,70.0,0.04337,0.7271,78.75,1
031918_18 green_LineProfile_2.tif,39.62,81.77,44.0,0.03226,0.6995,79.53,1
031918_18 green_LineProfile_3.tif,53.15,74.51,70.0,0.0237,0.2413,47.37,4
031918_18 green_LineProfile_4.tif,2.462,3.857,3.0,0.005319,0.00371,47.73,2
031918_18 green_LineProfile_5.tif,9.019,14.78,11.0,0.01931,0.05972,61.63,4
031918_18 green_LineProfile_6.tif,1.0,19.96,10.0,0.0384,0.4458,80.21,1
031918_18 green_LineProfile_7.tif,1.0,22.83,10.0,0.06343,0.9424,65.87,1
031918_18 green_LineProfile_8.tif,1.0,39.02,31.0,0.1068,2.894,100.0,1
031918_19 green_LineProfile_1.tif,16.53,40.0,32.0,0.1158,1.94,94.42,3
031918_19 green_LineProfile_2.tif,16.75,40.0,29.0,0.02733,0.3391,94.41,3
031918_19 green_LineProfile_3.tif,15.83,19.89,17.0,0.009878,0.02449,32.45,4
031918_19 green_LineProfile_4.tif,11.61,12.57,12.0,0.002878,0.00137,57.96,3
031918_19 green_LineProfile_5.tif,10.63,16.31,15.0,0.01439,0.04931,93.0,5
031918_19 green_LineProfile_6.tif,8.742,16.38,12.0,0.02859,0.1078,100.0,1
031918_19 green_LineProfile_8.tif,8.72,13.9,13.0,0.03304,0.08706,89.69,1
103017_32 green_LineProfile_1.tif,50.29,61.62,59.0,0.01719,0.09027,31.34,13
103017_32 green_LineProfile_2.tif,51.43,63.76,54.0,0.01135,0.07015,34.75,12
103017_32 green_LineProfile_3.tif,51.65,68.3,54.0,0.02088,0.1433,31.48,17
103017_32 green_LineProfile_5.tif,64.3,92.0,68.0,0.01879,0.3831,73.34,17
103017_32 green_LineProfile_6.tif,87.62,92.0,89.0,0.02137,0.05566,16.85,20
103017_32 green_LineProfile_7.tif,69.51,77.29,76.0,0.01899,0.07003,32.47,19
103017_33 green_LineProfile_1.tif,65.53,66.89,66.0,0.009309,0.006338,62.35,3
103017_33 green_LineProfile_2.tif,39.55,47.58,43.0,0.008499,0.02903,22.16,10
103017_33 green_LineProfile_3.tif,4.203,14.0,8.0,0.03441,0.1829,67.51,2
103017_33 green_LineProfile_7.tif,2.577,7.0,4.0,0.009167,0.02836,96.4,2
103017_33 green_LineProfile_8.tif,2.454,6.298,3.0,0.01102,0.01813,80.74,2
103017_34 green_LineProfile_2.tif,30.86,36.85,36.0,0.007735,0.02615,30.05,11
103017_34 green_LineProfile_3.tif,1.0,5.0,4.0,0.01222,0.02711,40.18,1
103017_34 green_LineProfile_4.tif,53.53,92.0,76.0,0.02782,0.6149,79.84,9
103017_34 green_LineProfile_5.tif,57.52,92.0,92.0,0.02833,0.6436,67.95,7
103017_34 green_LineProfile_6.tif,8.325,86.13,39.0,0.03744,1.901,98.14,4
103017_36 green_LineProfile_1.tif,20.24,54.06,45.0,0.04765,0.7683,85.98,1
103017_36 green_LineProfile_2.tif,20.69,51.33,41.0,0.03788,0.5247,86.43,2
103017_36 green_LineProfile_3.tif,31.0,56.04,45.0,0.05077,0.6663,62.44,7
103017_36 green_LineProfile_4.tif,24.42,58.64,36.0,0.05655,0.9678,64.92,5
103017_36 green_LineProfile_5.tif,24.1,58.93,34.0,0.06576,1.214,64.57,6
103017_36 green_LineProfile_6.tif,24.33,60.56,49.0,0.05706,0.9324,69.47,5
103017_36 green_LineProfile_7.tif,24.36,64.16,49.0,0.05994,1.107,76.06,9
103017_36 green_LineProfile_8.tif,9.192,67.33,49.0,0.05783,1.595,84.15,5
103017_37 green_LineProfile_1.tif,31.09,63.72,47.0,0.04966,0.8056,86.08,3
103017_37 green_LineProfile_2.tif,35.11,63.42,42.0,0.036,0.5409,82.03,5
103017_37 green_LineProfile_3.tif,29.05,64.33,42.0,0.04431,0.6966,87.38,3
103017_37 green_LineProfile_4.tif,29.28,64.5,47.0,0.05686,0.8755,89.41,3
103017_37 green_LineProfile_5.tif,23.12,64.6,32.0,0.05916,1.057,95.77,5
103017_37 green_LineProfile_6.tif,21.23,68.52,32.0,0.05743,1.406,89.85,6
103017_37 green_LineProfile_7.tif,15.5,68.6,53.0,0.06072,1.661,87.74,3
103017_37 green_LineProfile_8.tif,16.75,70.34,32.0,0.05778,1.696,92.14,5
103017_38 green_LineProfile_1.tif,95.56,98.0,96.0,0.001125,0.001823,100.0,1
103017_38 green_LineProfile_2.tif,96.02,98.0,97.0,0.01475,0.01881,68.39,3
103017_38 green_LineProfile_3.tif,83.77,98.0,97.0,0.04638,0.296,57.73,24
103017_38 green_LineProfile_4.tif,90.31,98.0,98.0,0.04843,0.2197,29.18,22
103017_38 green_LineProfile_5.tif,91.13,98.0,98.0,0.03188,0.137,47.98,9
103017_38 green_LineProfile_6.tif,88.05,98.0,98.0,0.03484,0.1255,82.72,8
103017_38 green_LineProfile_7.tif,91.63,98.0,98.0,0.02353,0.06281,77.69,7
103017_38 green_LineProfile_8.tif,86.65,98.0,98.0,0.02654,0.1246,55.39,6
103017_39 green_LineProfile_1.tif,59.04,76.71,62.0,0.06122,0.421,25.68,15
103017_39 green_LineProfile_2.tif,59.16,67.92,60.0,0.04177,0.1715,19.49,16
103017_39 green_LineProfile_3.tif,19.0,98.0,42.0,0.05502,1.882,96.51,9
103017_39 green_LineProfile_4.tif,45.14,71.81,49.0,0.02024,0.2512,36.13,8
103017_39 green_LineProfile_5.tif,15.13,98.0,48.0,0.03562,1.405,100.0,2
103017_39 green_LineProfile_6.tif,6.644,98.0,57.0,0.06317,3.529,100.0,2
103017_39 green_LineProfile_7.tif,4.466,98.0,45.0,0.06898,3.878,99.58,2
103017_39 green_LineProfile_8.tif,42.07,50.57,43.0,0.03891,0.2121,23.2,10
103017_310 green_LineProfile_1.tif,97.18,99.0,98.0,0.0108,0.01022,17.12,17
103017_310 green_LineProfile_2.tif,4.62,5.461,5.0,0.005474,0.002301,50.01,1
103017_310 green_LineProfile_3.tif,26.87,29.8,29.0,0.0197,0.01982,19.57,6
103017_310 green_LineProfile_4.tif,89.61,99.0,99.0,0.01442,0.07965,68.47,9
103017_310 green_LineProfile_5.tif,94.35,99.0,98.0,0.01792,0.05651,61.5,10
103017_310 green_LineProfile_6.tif,1.0,6.0,4.0,0.01228,0.03254,28.03,1
103017_310 green_LineProfile_7.tif,43.08,55.1,47.0,0.02532,0.1661,57.93,13
103017_310 green_LineProfile_8.tif,33.06,55.79,47.0,0.04801,0.5009,51.47,9
103017_311 green_LineProfile_1.tif,39.16,40.66,40.0,0.05036,0.03782,14.17,13
103017_311 green_LineProfile_2.tif,3.404,6.337,4.0,0.02831,0.03298,13.13,1
103017_311 green_LineProfile_3.tif,3.469,6.346,4.0,0.02912,0.03562,33.88,2
103017_311 green_LineProfile_4.tif,5.136,6.513,6.0,0.01066,0.007336,18.12,2
103017_311 green_LineProfile_5.tif,19.45,21.44,20.0,0.01568,0.0149,21.58,5
103017_311 green_LineProfile_6.tif,68.17,94.95,89.0,0.02115,0.2987,39.7,7
103017_311 green_LineProfile_7.tif,13.53,18.64,17.0,0.006366,0.01888,56.25,4
103017_311 green_LineProfile_8.tif,1.0,3.39,3.0,0.01424,0.02516,21.8,1
103017_42a green_LineProfile_1.tif,13.3,20.49,15.0,0.0312,0.09013,29.2,4
103017_42a green_LineProfile_2.tif,43.93,52.72,50.0,0.02269,0.06141,25.23,11
103017_42a green_LineProfile_3.tif,12.73,19.73,15.0,0.02476,0.09279,30.58,3
103017_42a green_LineProfile_4.tif,14.11,17.78,15.0,0.02034,0.03012,27.13,1
103017_42a green_LineProfile_5.tif,13.0,19.87,15.0,0.01331,0.06054,24.22,5
103017_42a green_LineProfile_6.tif,43.3,56.65,50.0,0.01743,0.1167,48.44,10
103017_42a green_LineProfile_7.tif,33.33,57.48,42.0,0.01597,0.2116,59.82,8
103017_42b green_LineProfile_1.tif,14.27,15.59,15.0,0.02726,0.01802,100.0,1
103017_42b green_LineProfile_2.tif,16.76,17.48,17.0,0.0144,0.005223,99.35,1
103017_42b green_LineProfile_3.tif,38.6,39.26,39.0,0.03448,0.01135,57.31,2
103017_42b green_LineProfile_4.tif,38.36,39.62,39.0,0.03409,0.02148,28.52,10
103017_42b green_LineProfile_5.tif,16.09,18.73,17.0,0.04924,0.06361,40.45,3
103017_42b green_LineProfile_6.tif,14.59,15.56,15.0,0.03364,0.01632,91.57,1
103017_42b green_LineProfile_7.tif,11.39,12.7,12.0,0.03054,0.02005,33.25,3
103017_42b green_LineProfile_8.tif,28.99,31.27,30.0,0.01311,0.01628,18.46,7
103017_43a green_LineProfile_1.tif,77.17,80.56,78.0,0.01495,0.02128,27.55,8
103017_43a green_LineProfile_2.tif,6.783,17.35,15.0,0.009987,0.03634,54.57,2
103017_43a green_LineProfile_3.tif,9.23,17.21,16.0,0.01119,0.04599,62.05,4
103017_43a green_LineProfile_4.tif,5.415,20.33,16.0,0.01647,0.1302,82.01,3
103017_43a green_LineProfile_5.tif,6.161,20.19,15.0,0.0156,0.1418,76.99,2
103017_43a green_LineProfile_6.tif,5.334,19.54,7.0,0.01753,0.1401,72.17,2
103017_43b green_LineProfile_1.tif,47.53,80.9,65.0,0.05205,0.9194,55.99,6
103017_43b green_LineProfile_2.tif,63.14,74.86,74.0,0.02332,0.09936,31.06,11
103017_43b green_LineProfile_3.tif,85.24,88.8,88.0,0.0299,0.05403,14.95,14
103017_43b green_LineProfile_4.tif,9.0,10.85,10.0,0.009462,0.008767,35.26,3
103017_43b green_LineProfile_5.tif,12.09,18.31,16.0,0.01797,0.05759,38.56,4
103017_43b green_LineProfile_6.tif,13.29,16.1,15.0,0.008732,0.01455,46.95,3
103017_43b green_LineProfile_7.tif,59.43,88.68,72.0,0.02585,0.3833,53.09,10
103017_43b green_LineProfile_8.tif,59.21,79.9,72.0,0.03467,0.3432,51.43,11
103017_44a green_LineProfile_1.tif,,,,,,,1
103017_44a green_LineProfile_2.tif,,,,,,,1
103017_44a green_LineProfile_3.tif,,,,,,,1
103017_44a green_LineProfile_4.tif,,,,,,,1
103017_44a green_LineProfile_5.tif,48.96,49.07,49.0,0.000516,2.967e-05,100.0,1
103017_44a green_LineProfile_6.tif,,,,,,,1
103017_44b green_LineProfile_1.tif,8.181,9.819,9.0,0.05061,0.04144,26.99,3
103017_44b green_LineProfile_2.tif,49.91,53.92,51.0,0.03314,0.06517,25.06,7
103017_44b green_LineProfile_3.tif,45.02,47.89,47.0,0.03502,0.0617,30.27,5
103017_44b green_LineProfile_4.tif,50.0,52.87,51.0,0.07516,0.1126,29.97,9
103017_44b green_LineProfile_5.tif,49.73,52.96,51.0,0.05665,0.0898,32.33,8
103017_44b green_LineProfile_6.tif,45.12,47.72,47.0,0.04708,0.04798,24.3,9
103017_44b green_LineProfile_7.tif,45.08,53.53,52.0,0.01847,0.06765,34.56,12
103017_44b green_LineProfile_8.tif,40.38,48.68,47.0,0.01942,0.07231,27.1,13
