,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
071018_43 green_LineProfile_3.tif,93.41,98.84,98.0,0.01838,0.04771,27.03,13
071018_43 green_LineProfile_4.tif,44.83,45.11,45.0,0.002024,0.0002829,82.47,2
071018_43 green_LineProfile_5.tif,3.42,5.54,4.0,0.009585,0.009897,45.74,2
071018_43 green_LineProfile_6.tif,8.081,19.4,16.0,0.0178,0.1134,55.77,2
071018_43 green_LineProfile_7.tif,1.0,17.45,4.0,0.03418,0.225,71.51,1
071018_43 green_LineProfile_8.tif,8.007,34.9,23.0,0.04797,0.5185,73.62,2
071018_44 green_LineProfile_3.tif,54.43,109.0,74.0,0.06872,2.596,97.34,6
071018_44 green_LineProfile_4.tif,59.37,60.44,60.0,0.003505,0.001877,88.43,2
071018_44 green_LineProfile_5.tif,4.294,11.45,5.0,0.01566,0.05202,46.75,2
071018_44 green_LineProfile_6.tif,35.05,47.89,43.0,0.02354,0.1475,66.49,9
071018_44 green_LineProfile_7.tif,31.35,43.93,34.0,0.04508,0.2208,50.91,8
071018_44 green_LineProfile_8.tif,40.02,41.64,41.0,0.02437,0.01975,51.42,2
071018_45 green_LineProfile_3.tif,71.88,78.95,73.0,0.0107,0.03883,36.28,6
071018_45 green_LineProfile_4.tif,89.2,110.0,97.0,0.01842,0.212,43.95,12
071018_45 green_LineProfile_5.tif,37.64,76.98,56.0,0.0461,1.011,48.3,8
071018_45 green_LineProfile_6.tif,1.0,76.73,58.0,0.09122,4.439,81.51,1
071018_47 green_LineProfile_2.tif,11.64,106.0,24.0,0.06383,2.158,100.0,1
071018_47 green_LineProfile_3.tif,25.53,27.92,27.0,0.02792,0.03327,22.09,4
071018_47 green_LineProfile_4.tif,13.4,15.06,14.0,0.004839,0.003968,25.54,1
071018_47 green_LineProfile_5.tif,1.0,3.304,3.0,0.008883,0.01479,61.6,1
071018_47 green_LineProfile_6.tif,1.0,9.207,7.0,0.03618,0.1545,93.2,1
071018_47 green_LineProfile_7.tif,1.0,11.54,7.0,0.05859,0.4487,100.0,1
071018_47 green_LineProfile_8.tif,,,,,,,1
071018_48 green_LineProfile_1.tif,39.87,105.0,59.0,0.04144,1.723,99.97,2
071018_48 green_LineProfile_2.tif,1.0,3.891,3.0,0.01183,0.01573,83.21,1
071018_48 green_LineProfile_3.tif,1.0,3.238,3.0,0.003051,0.004496,87.09,1
071018_48 green_LineProfile_4.tif,42.68,53.98,48.0,0.01051,0.05101,22.69,9
071018_48 green_LineProfile_5.tif,11.33,13.96,13.0,0.00554,0.008929,27.9,4
071018_48 green_LineProfile_6.tif,4.402,20.76,17.0,0.02221,0.09917,66.92,2
071018_48 green_LineProfile_7.tif,11.36,17.33,16.0,0.006742,0.01943,38.93,4
071018_48 green_LineProfile_8.tif,8.198,37.63,25.0,0.02196,0.4214,93.34,4
071018_49 green_LineProfile_1.tif,85.1,87.12,86.0,0.002571,0.0027,81.99,3
071018_49 green_LineProfile_2.tif,6.284,14.29,9.0,0.02083,0.1058,47.14,3
071018_49 green_LineProfile_3.tif,91.5,93.92,92.0,0.009357,0.01301,24.75,15
071018_49 green_LineProfile_4.tif,7.613,8.456,8.0,0.002836,0.001194,85.65,2
071018_49 green_LineProfile_5.tif,1.0,13.93,3.0,0.02183,0.1194,67.31,1
071018_49 green_LineProfile_6.tif,11.2,15.56,12.0,0.01232,0.02973,85.2,3
071018_49 green_LineProfile_7.tif,1.0,22.0,15.0,0.0302,0.2801,68.51,1
071018_49 green_LineProfile_8.tif,1.0,31.61,12.0,0.06709,1.207,96.18,1
071018_411a green_LineProfile_1.tif,,,,,,,1
071018_411a green_LineProfile_2.tif,,,,,,,1
071018_411a green_LineProfile_3.tif,1.0,1.162,1.0,0.001518,0.0001229,100.0,1
071018_411a green_LineProfile_4.tif,93.04,96.92,96.0,0.009993,0.02282,40.45,5
071018_411a green_LineProfile_5.tif,95.59,96.47,96.0,0.006055,0.002658,41.21,6
071018_411a green_LineProfile_6.tif,80.55,107.2,82.0,0.02952,0.2948,37.06,6
071018_411a green_LineProfile_7.tif,54.07,55.83,55.0,0.03633,0.0321,53.82,3
071018_411a green_LineProfile_8.tif,45.92,69.69,57.0,0.0275,0.2751,57.81,3
071018_412a green_LineProfile_1.tif,82.0,102.8,96.0,0.3317,2.929,88.07,6
071018_412a green_LineProfile_2.tif,80.18,107.2,94.0,0.2901,4.23,93.85,4
071018_412a green_LineProfile_3.tif,77.84,107.9,94.0,0.141,2.54,86.95,2
071018_412a green_LineProfile_4.tif,80.01,107.8,94.0,0.06992,1.092,83.99,8
071018_412a green_LineProfile_5.tif,77.26,109.7,94.0,0.06016,0.9999,89.8,6
071018_412a green_LineProfile_6.tif,77.17,109.5,79.0,0.04302,0.448,77.46,6
071018_412a green_LineProfile_7.tif,63.89,66.24,65.0,0.03155,0.03514,25.63,4
071018_412a green_LineProfile_8.tif,85.2,105.0,91.0,0.02188,0.2203,43.02,8
071018_413a green_LineProfile_1.tif,45.3,63.82,54.0,0.04101,0.4027,44.79,5
071018_413a green_LineProfile_2.tif,45.24,93.69,54.0,0.0637,1.825,84.68,5
071018_413a green_LineProfile_3.tif,45.29,73.0,59.0,0.08409,1.264,53.37,6
071018_413a green_LineProfile_4.tif,42.95,95.97,76.0,0.1124,2.976,91.14,5
071018_413a green_LineProfile_5.tif,73.13,93.72,80.0,0.05361,0.6466,37.58,9
071018_413a green_LineProfile_6.tif,43.56,89.97,51.0,0.1009,2.43,86.72,5
071018_413a green_LineProfile_7.tif,43.39,70.63,56.0,0.1108,1.735,56.19,6
071018_413a green_LineProfile_8.tif,47.14,91.86,52.0,0.08393,2.291,86.67,3
071018_415 green_LineProfile_1.tif,1.0,40.74,17.0,0.08496,2.161,97.43,1
071018_415 green_LineProfile_2.tif,1.0,39.97,3.0,0.05102,0.8155,98.36,1
071018_415 green_LineProfile_3.tif,1.0,40.23,5.0,0.04094,0.9887,98.06,1
071018_415 green_LineProfile_4.tif,1.0,16.74,12.0,0.03761,0.317,49.3,1
071018_415 green_LineProfile_5.tif,1.0,39.94,14.0,0.04195,0.8247,98.71,1
071018_415 green_LineProfile_6.tif,1.0,16.75,6.0,0.0435,0.3519,56.92,1
071018_415 green_LineProfile_7.tif,1.0,9.127,1.0,0.007364,0.02562,85.07,1
071018_415 green_LineProfile_8.tif,1.0,37.63,12.0,0.06037,0.8573,94.66,1
071018_416 green_LineProfile_1.tif,8.353,13.68,11.0,0.01623,0.04283,52.4,2
071018_416 green_LineProfile_2.tif,1.0,22.8,3.0,0.06544,0.4958,84.95,1
071018_416 green_LineProfile_3.tif,1.0,20.5,5.0,0.05187,0.4436,96.28,1
071018_416 green_LineProfile_4.tif,1.0,9.734,7.0,0.03351,0.1942,50.91,1
071018_416 green_LineProfile_5.tif,1.0,12.48,5.0,0.03215,0.1446,63.96,1
071018_416 green_LineProfile_6.tif,1.0,18.77,2.0,0.03449,0.3402,92.86,1
071018_416 green_LineProfile_7.tif,2.105,4.492,4.0,0.01699,0.02501,29.25,1
071018_416 green_LineProfile_8.tif,8.176,14.17,9.0,0.01331,0.04677,52.26,3
071018_417 green_LineProfile_1.tif,1.0,38.0,23.0,0.03893,0.6956,98.92,1
071018_417 green_LineProfile_2.tif,1.0,41.52,14.0,0.05343,1.147,99.82,1
071018_417 green_LineProfile_3.tif,1.0,40.32,15.0,0.0456,0.7136,98.71,1
071018_417 green_LineProfile_4.tif,1.0,16.61,6.0,0.04498,0.2903,74.59,1
071018_417 green_LineProfile_5.tif,1.0,12.22,7.0,0.01481,0.06082,26.38,1
071018_417 green_LineProfile_6.tif,4.0,11.81,11.0,0.02991,0.08672,68.19,1
071018_417 green_LineProfile_7.tif,38.75,41.12,40.0,0.003169,0.005221,24.48,2
071018_417 green_LineProfile_8.tif,1.0,9.934,6.0,0.01317,0.05379,82.07,1
071018_419 green_LineProfile_3.tif,73.8,98.0,96.0,0.05905,0.6113,99.17,7
071018_419 green_LineProfile_4.tif,1.0,16.39,5.0,0.01789,0.1245,93.12,1
071018_419 green_LineProfile_5.tif,14.87,15.14,15.0,0.001595,0.0002196,85.42,2
071018_419 green_LineProfile_6.tif,10.42,11.47,11.0,0.006698,0.003522,45.76,2
071018_419 green_LineProfile_7.tif,,,,,,,1
071018_419 green_LineProfile_8.tif,73.0,98.0,96.0,0.02778,0.2451,59.02,16
071018_420 green_LineProfile_1.tif,1.0,1.885,1.0,0.07811,0.03457,100.0,1
071018_420 green_LineProfile_2.tif,1.0,13.99,3.0,0.03686,0.2517,88.22,1
071018_420 green_LineProfile_3.tif,28.13,105.0,32.0,0.291,20.38,89.45,2
071018_420 green_LineProfile_4.tif,26.74,105.0,33.0,0.1555,10.54,83.54,2
071018_420 green_LineProfile_5.tif,4.149,105.0,25.0,0.7682,55.14,100.0,1
071018_420 green_LineProfile_6.tif,3.929,105.0,35.0,0.0948,7.008,100.0,1
071018_420 green_LineProfile_7.tif,,,,,,,1
071018_420 green_LineProfile_8.tif,28.81,57.17,33.0,0.04149,0.4874,29.21,6
071018_421 green_LineProfile_1.tif,6.5,26.2,13.0,0.05175,0.4747,97.07,3
071018_421 green_LineProfile_2.tif,6.105,35.76,13.0,0.164,2.272,89.84,2
071018_421 green_LineProfile_3.tif,36.83,37.12,37.0,0.001996,0.0002845,69.38,4
071018_421 green_LineProfile_4.tif,88.27,104.8,96.0,0.03721,0.217,79.51,10
071018_421 green_LineProfile_5.tif,48.0,50.67,50.0,0.00627,0.008364,94.34,1
071018_420 green_LineProfile_6.tif.1,38.76,52.39,46.0,0.02047,0.1246,51.43,4
071018_421 green_LineProfile_7.tif,33.72,45.04,41.0,0.0213,0.1263,62.4,2
071018_421 green_LineProfile_8.tif,26.83,34.87,34.0,0.02254,0.08122,65.7,2
071118_23 green_LineProfile_1.tif,18.57,20.62,20.0,0.007079,0.007419,50.62,3
071118_23 green_LineProfile_2.tif,1.0,101.9,90.0,0.06424,3.212,99.83,1
071118_23 green_LineProfile_3.tif,21.03,49.83,26.0,0.1113,0.5198,47.94,5
071118_23 green_LineProfile_4.tif,1.0,83.91,30.0,0.05923,2.238,92.7,1
071118_23 green_LineProfile_5.tif,11.13,84.9,26.0,0.06296,1.872,96.1,3
071118_23 green_LineProfile_6.tif,20.19,104.0,56.0,0.05515,2.64,99.77,2
071118_23 green_LineProfile_7.tif,28.76,77.44,35.0,0.05172,1.33,75.12,3
071118_23 green_LineProfile_8.tif,53.2,58.33,57.0,0.01405,0.03026,33.29,3
071118_24 green_LineProfile_1.tif,11.81,21.39,15.0,0.03303,0.157,89.44,5
071118_24 green_LineProfile_2.tif,67.68,105.0,85.0,0.03666,0.8129,48.78,6
071118_24 green_LineProfile_3.tif,8.35,13.65,11.0,0.01482,0.05033,27.87,2
071118_24 green_LineProfile_4.tif,11.12,105.0,85.0,0.0951,6.61,98.33,3
071118_24 green_LineProfile_5.tif,67.44,105.0,87.0,0.04842,1.223,53.09,8
071118_24 green_LineProfile_6.tif,70.66,100.6,92.0,0.0392,0.6857,62.69,11
071118_24 green_LineProfile_8.tif,14.27,18.21,15.0,0.01438,0.03893,56.34,3
071118_25 green_LineProfile_2.tif,8.771,96.0,85.0,0.0727,2.741,99.23,3
071118_25 green_LineProfile_3.tif,3.261,7.461,4.0,0.01993,0.05552,36.51,1
071118_25 green_LineProfile_4.tif,9.332,31.88,24.0,0.04214,0.402,40.56,2
071118_25 green_LineProfile_5.tif,3.171,28.86,4.0,0.03075,0.4302,32.25,2
071118_25 green_LineProfile_6.tif,9.158,71.86,57.0,0.05551,1.738,73.43,4
071118_25 green_LineProfile_8.tif,2.123,96.0,49.0,0.08465,4.629,100.0,1
071118_27 green_LineProfile_1.tif,7.016,120.0,31.0,0.2779,23.77,99.89,2
071118_27 green_LineProfile_2.tif,7.341,69.82,12.0,0.1341,4.766,90.55,2
071118_27 green_LineProfile_3.tif,6.771,120.0,54.0,0.4878,48.32,99.96,2
071118_27 green_LineProfile_4.tif,7.117,120.0,22.0,0.4167,30.28,99.99,2
071118_27 green_LineProfile_5.tif,6.772,120.0,104.0,2.266,180.6,100.0,2
071118_27 green_LineProfile_6.tif,6.716,120.0,30.0,0.6421,58.45,100.0,1
071118_27 green_LineProfile_7.tif,6.235,120.0,70.0,0.9861,86.14,99.93,2
071118_27 green_LineProfile_8.tif,6.693,120.0,104.0,1.984,141.3,100.0,2
071118_28 green_LineProfile_1.tif,28.45,32.99,32.0,0.04405,0.1208,37.46,8
071118_28 green_LineProfile_2.tif,26.13,38.84,29.0,0.4445,2.686,37.53,6
071118_28 green_LineProfile_3.tif,26.71,38.14,31.0,0.07351,0.4557,59.39,9
071118_28 green_LineProfile_4.tif,26.31,37.96,29.0,0.2041,1.472,50.76,7
071118_28 green_LineProfile_5.tif,42.38,86.79,80.0,0.1401,2.527,38.69,9
071118_28 green_LineProfile_6.tif,26.47,38.84,29.0,0.2202,1.645,39.29,7
071118_28 green_LineProfile_7.tif,61.08,113.7,71.0,0.1193,2.8,44.86,6
071118_29 green_LineProfile_1.tif,20.95,120.0,48.0,0.2806,20.34,97.72,4
