,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
071018_12 green_LineProfile_2.tif,50.51,76.0,52.0,0.06454,0.8936,69.68,7
071018_12 green_LineProfile_3.tif,61.09,73.46,63.0,0.03176,0.2089,46.53,6
071018_12 green_LineProfile_4.tif,50.46,72.94,71.0,0.03873,0.5268,74.99,9
071018_12 green_LineProfile_6.tif,50.53,67.97,52.0,0.05985,0.5099,65.41,7
071018_12 green_LineProfile_8.tif,50.25,73.43,63.0,0.064,0.8322,63.47,8
071018_14 green_LineProfile_1.tif,5.896,61.51,38.0,0.08397,2.316,93.1,3
071018_14 green_LineProfile_2.tif,7.189,55.92,18.0,0.06889,1.668,93.93,3
071018_14 green_LineProfile_3.tif,5.167,57.92,47.0,0.08814,2.848,92.26,2
071018_14 green_LineProfile_4.tif,11.01,56.05,40.0,0.0785,1.869,96.27,4
071018_14 green_LineProfile_6.tif,11.04,58.92,36.0,0.1436,4.238,91.63,2
071018_14 green_LineProfile_7.tif,1.0,79.0,33.0,0.2139,9.501,100.0,1
071018_14 green_LineProfile_8.tif,1.0,79.0,33.0,0.1789,7.47,100.0,1
071018_16a green_LineProfile_2.tif,4.356,5.376,5.0,0.01045,0.005332,25.83,3
071018_16a green_LineProfile_3.tif,46.22,48.23,47.0,0.01506,0.01789,53.66,5
071018_16a green_LineProfile_4.tif,35.02,37.83,37.0,0.03095,0.037,33.64,4
071018_16a green_LineProfile_5.tif,38.36,40.74,39.0,0.022,0.02857,61.85,2
071018_16a green_LineProfile_6.tif,35.21,39.8,37.0,0.02307,0.05952,23.11,6
071018_16a green_LineProfile_7.tif,7.657,8.09,8.0,0.002503,0.0005419,85.66,1
071018_16a green_LineProfile_8.tif,5.497,9.249,6.0,0.01123,0.02016,46.93,1
071018_17a green_LineProfile_1.tif,10.14,115.0,65.0,0.2128,16.27,98.23,3
071018_17a green_LineProfile_2.tif,15.36,115.0,42.0,0.172,8.973,97.21,2
071018_17a green_LineProfile_3.tif,9.913,115.0,88.0,0.1351,10.13,99.8,2
071018_17a green_LineProfile_4.tif,5.134,115.0,82.0,0.2214,17.59,100.0,2
071018_17a green_LineProfile_5.tif,4.458,115.0,80.0,0.2524,23.32,99.88,2
071018_17a green_LineProfile_6.tif,3.28,115.0,34.0,0.2561,21.67,100.0,1
071018_17a green_LineProfile_7.tif,9.662,115.0,18.0,0.2166,18.62,99.64,3
071018_17a green_LineProfile_8.tif,9.695,115.0,43.0,0.213,13.48,99.66,3
071018_18a green_LineProfile_2.tif,21.06,103.0,37.0,0.07103,2.769,86.9,3
071018_18a green_LineProfile_3.tif,22.19,75.61,46.0,0.06122,1.643,62.34,3
071018_18a green_LineProfile_4.tif,23.25,69.45,34.0,0.05792,1.226,63.09,3
071018_18a green_LineProfile_5.tif,13.72,95.86,37.0,0.07235,2.988,88.38,2
071018_18a green_LineProfile_6.tif,13.89,69.52,53.0,0.07122,1.864,72.55,2
071018_18a green_LineProfile_7.tif,17.18,69.12,61.0,0.05823,1.414,58.65,3
071018_18a green_LineProfile_8.tif,12.75,114.0,108.0,0.1194,5.914,96.11,3
071018_22 green_LineProfile_1.tif,1.0,100.7,76.0,0.3134,22.14,100.0,1
071018_22 green_LineProfile_2.tif,1.0,103.0,85.0,2.268,195.0,100.0,1
071018_22 green_LineProfile_3.tif,1.0,102.6,91.0,0.7197,59.28,100.0,1
071018_22 green_LineProfile_4.tif,1.0,103.0,92.0,0.5836,46.45,100.0,1
071018_22 green_LineProfile_5.tif,1.0,103.0,95.0,0.3387,25.02,100.0,1
071018_22 green_LineProfile_6.tif,1.0,84.89,71.0,0.1763,9.776,81.87,1
071018_22 green_LineProfile_7.tif,40.23,50.66,49.0,0.02564,0.1659,24.1,7
071018_22 green_LineProfile_8.tif,1.0,20.95,8.0,0.06794,0.7345,35.83,1
071018_23 green_LineProfile_1.tif,19.34,40.95,36.0,0.05089,0.4551,28.18,3
071018_23 green_LineProfile_2.tif,1.0,65.01,55.0,0.1185,4.921,67.25,1
071018_23 green_LineProfile_3.tif,1.0,68.62,3.0,0.1106,3.861,76.0,1
071018_23 green_LineProfile_4.tif,1.0,103.0,64.0,0.1869,14.83,100.0,1
071018_23 green_LineProfile_5.tif,1.0,103.0,64.0,0.3024,23.99,100.0,1
071018_23 green_LineProfile_6.tif,1.0,103.0,65.0,0.3653,27.05,100.0,1
071018_23 green_LineProfile_7.tif,1.0,103.0,69.0,0.4444,31.69,100.0,1
071018_23 green_LineProfile_8.tif,1.0,103.0,15.0,0.2977,21.68,100.0,1
071018_24 green_LineProfile_1.tif,11.11,104.0,94.0,0.1125,5.799,95.62,2
071018_24 green_LineProfile_2.tif,7.951,54.52,36.0,0.1033,2.875,56.71,1
071018_24 green_LineProfile_2.tif.1,7.951,54.52,36.0,0.1033,2.875,56.71,1
071018_24 green_LineProfile_3.tif,7.389,104.0,36.0,0.09787,5.675,99.76,2
071018_24 green_LineProfile_4.tif,79.84,86.31,85.0,0.0141,0.06287,68.02,9
071018_24 green_LineProfile_5.tif,18.18,23.65,22.0,0.05672,0.1696,26.61,4
071018_24 green_LineProfile_6.tif,80.49,81.86,81.0,0.01294,0.008832,62.28,4
071018_24 green_LineProfile_7.tif,4.556,7.371,6.0,0.03424,0.06527,61.24,2
071018_24 green_LineProfile_8.tif,3.023,11.21,5.0,0.02222,0.09676,40.45,2
071018_26 green_LineProfile_2.tif,,,,,,,1
071018_26 green_LineProfile_3.tif,,,,,,,1
071018_26 green_LineProfile_5.tif,1.846,2.235,2.0,0.005074,0.0009882,100.0,1
071018_26 green_LineProfile_6.tif,58.95,60.43,60.0,0.02191,0.01726,41.33,5
071018_26 green_LineProfile_7.tif,1.76,2.515,2.0,0.008296,0.003131,98.74,1
071018_26 green_LineProfile_8.tif,,,,,,,1
071018_27 green_LineProfile_1.tif,88.15,98.57,96.0,0.0649,0.376,17.44,14
071018_27 green_LineProfile_2.tif,1.0,48.84,4.0,0.07537,1.5,46.39,1
071018_27 green_LineProfile_5.tif,84.27,101.5,96.0,0.101,1.175,22.52,9
071018_27 green_LineProfile_7.tif,1.0,31.17,3.0,0.1455,2.082,36.79,1
071018_27 green_LineProfile_8.tif,2.002,8.898,3.0,0.08018,0.2875,13.59,2
071018_28 green_LineProfile_1.tif,13.06,104.0,93.0,0.1836,9.355,90.51,2
071018_28 green_LineProfile_3.tif,1.0,104.0,99.0,0.4021,31.77,100.0,1
071018_28 green_LineProfile_4.tif,1.0,104.0,79.0,0.4437,35.85,100.0,1
071018_28 green_LineProfile_6.tif,1.0,104.0,42.0,0.3188,22.55,100.0,1
071018_28 green_LineProfile_7.tif,1.0,104.0,79.0,0.4003,31.46,100.0,1
071018_28 green_LineProfile_8.tif,1.0,104.0,80.0,0.3659,29.09,100.0,1
071018_32 green_LineProfile_1.tif,77.95,117.0,112.0,0.2477,8.284,60.49,11
071018_32 green_LineProfile_2.tif,77.92,117.0,112.0,0.2645,8.739,61.57,11
071018_32 green_LineProfile_3.tif,77.94,117.0,112.0,0.193,6.401,63.66,9
071018_32 green_LineProfile_4.tif,77.83,117.0,86.0,0.169,5.582,63.28,13
071018_32 green_LineProfile_5.tif,77.98,114.9,98.0,0.05169,1.372,53.37,13
071018_32 green_LineProfile_6.tif,78.0,107.8,91.0,0.04515,0.8512,49.77,16
071018_32 green_LineProfile_7.tif,77.96,117.0,96.0,0.0729,1.92,78.66,11
071018_32 green_LineProfile_8.tif,77.85,117.0,99.0,0.2127,7.074,56.82,10
071018_33 green_LineProfile_1.tif,25.82,30.84,27.0,0.01814,0.03978,31.08,3
071018_33 green_LineProfile_2.tif,40.34,43.44,43.0,0.01684,0.02678,32.17,8
071018_33 green_LineProfile_3.tif,1.0,6.565,2.0,0.02002,0.06936,27.02,1
071018_33 green_LineProfile_4.tif,1.0,8.605,8.0,0.02785,0.153,23.15,1
071018_33 green_LineProfile_5.tif,1.0,8.781,2.0,0.03254,0.1619,21.31,1
071018_33 green_LineProfile_6.tif,79.19,94.36,82.0,0.0303,0.3112,24.62,13
071018_33 green_LineProfile_7.tif,1.0,15.89,6.0,0.02968,0.2673,24.98,1
071018_33 green_LineProfile_8.tif,79.06,94.38,89.0,0.02332,0.2134,29.53,14
071018_34 green_LineProfile_1.tif,45.46,67.65,63.0,0.02051,0.2378,78.84,7
071018_34 green_LineProfile_2.tif,43.36,58.87,58.0,0.02251,0.1773,59.27,6
071018_34 green_LineProfile_3.tif,25.7,27.09,26.0,0.003856,0.003954,54.73,2
071018_34 green_LineProfile_4.tif,105.2,111.2,110.0,0.01103,0.0335,27.37,12
071018_34 green_LineProfile_5.tif,106.1,109.6,107.0,0.007407,0.01171,40.1,5
071018_34 green_LineProfile_7.tif,95.7,111.6,109.0,0.02209,0.1467,40.99,16
071018_36a green_LineProfile_1.tif,77.01,95.0,86.0,0.01988,0.2163,44.54,7
071018_36a green_LineProfile_2.tif,93.26,106.5,98.0,0.0382,0.263,68.56,14
071018_36a green_LineProfile_3.tif,76.36,95.98,77.0,0.01807,0.1918,75.06,5
071018_36a green_LineProfile_4.tif,93.07,99.48,96.0,0.01264,0.03535,32.81,10
071018_36a green_LineProfile_5.tif,93.01,106.9,99.0,0.03262,0.2705,73.46,10
071018_36a green_LineProfile_6.tif,86.42,91.59,87.0,0.007689,0.01373,38.4,9
071018_36a green_LineProfile_7.tif,19.04,39.31,32.0,0.03635,0.2616,50.3,5
071018_36a green_LineProfile_8.tif,1.0,3.532,1.0,0.009855,0.01463,47.45,1
071018_36b green_LineProfile_4.tif,1.0,68.51,32.0,0.152,6.399,99.46,1
071018_36b green_LineProfile_5.tif,2.286,69.0,65.0,1.56,55.93,100.0,1
071018_36b green_LineProfile_6.tif,1.0,69.0,65.0,1.387,49.36,100.0,1
071018_36b green_LineProfile_7.tif,1.0,68.7,65.0,1.448,50.68,99.73,1
071018_36b green_LineProfile_8.tif,1.0,68.86,65.0,1.316,51.57,100.0,1
071018_37a green_LineProfile_1.tif,32.79,98.51,62.0,0.04622,1.561,89.67,4
071018_37a green_LineProfile_2.tif,32.71,71.56,59.0,0.06798,1.493,54.37,4
071018_37a green_LineProfile_3.tif,32.76,71.54,58.0,0.06246,1.355,50.57,4
071018_37a green_LineProfile_4.tif,30.92,60.44,48.0,0.02145,0.4008,45.78,3
071018_37a green_LineProfile_5.tif,32.45,71.25,62.0,0.04471,0.8557,53.7,3
071018_37a green_LineProfile_6.tif,32.38,39.98,39.0,0.01669,0.07304,39.43,5
071018_37a green_LineProfile_7.tif,15.97,33.56,30.0,0.05783,0.4683,58.12,2
071018_37a green_LineProfile_8.tif,47.25,60.4,60.0,0.04762,0.3204,24.87,8
071018_37b green_LineProfile_3.tif,18.12,32.42,26.0,0.09375,0.7394,90.58,3
071018_37b green_LineProfile_4.tif,16.71,32.52,26.0,0.1248,0.9479,92.2,4
071018_37b green_LineProfile_5.tif,18.3,32.37,25.0,0.1445,0.9354,94.3,2
071018_37b green_LineProfile_6.tif,17.63,32.33,25.0,0.08541,0.6231,99.24,2
071018_37b green_LineProfile_7.tif,17.05,32.87,26.0,0.2604,2.056,91.68,4
071018_37b green_LineProfile_8.tif,16.57,33.15,25.0,0.2359,1.86,96.15,3
071018_38a green_LineProfile_1.tif,26.61,109.0,45.0,0.03346,1.577,81.06,5
071018_38a green_LineProfile_2.tif,13.58,14.73,14.0,0.009604,0.005546,15.61,6
071018_38a green_LineProfile_3.tif,21.65,22.19,22.0,0.002351,0.0006394,68.07,3
071018_38a green_LineProfile_4.tif,94.85,97.3,96.0,0.005806,0.007903,17.09,17
071018_38a green_LineProfile_5.tif,37.67,109.0,47.0,0.03362,1.154,73.15,9
071018_38a green_LineProfile_6.tif,46.16,91.37,87.0,0.03195,0.8937,51.55,10
071018_38a green_LineProfile_7.tif,28.43,109.0,47.0,0.05428,3.348,85.29,6
071018_38a green_LineProfile_8.tif,37.98,71.58,47.0,0.0939,1.216,34.52,8
071018_38b green_LineProfile_1.tif,28.72,93.36,71.0,0.04797,1.466,61.32,4
071018_38b green_LineProfile_2.tif,28.62,89.72,35.0,0.213,5.095,77.11,3
071018_38b green_LineProfile_3.tif,34.4,35.43,35.0,0.0216,0.01111,67.89,1
071018_38b green_LineProfile_4.tif,26.4,109.0,35.0,0.3298,20.16,85.55,4
071018_38b green_LineProfile_5.tif,26.07,109.0,37.0,0.5818,32.95,89.11,3
071118_12 green_LineProfile_1.tif,82.82,110.0,106.0,0.02673,0.3901,38.05,19
071118_12 green_LineProfile_2.tif,6.757,110.0,106.0,0.07285,4.419,99.54,3
071118_12 green_LineProfile_3.tif,28.04,73.56,29.0,0.03682,1.041,37.6,5
071118_12 green_LineProfile_4.tif,1.0,73.62,10.0,0.05211,2.115,67.91,1
071118_12 green_LineProfile_5.tif,7.125,48.87,13.0,0.04286,0.9275,47.84,3
071118_12 green_LineProfile_6.tif,7.28,27.74,11.0,0.04275,0.4535,44.59,3
071118_12 green_LineProfile_7.tif,1.0,20.66,10.0,0.06976,0.673,58.2,1
071118_12 green_LineProfile_8.tif,1.547,48.74,14.0,0.08369,2.252,50.47,1
071118_13 green_LineProfile_1.tif,30.34,110.0,109.0,0.0466,2.327,96.83,5
071118_13 green_LineProfile_2.tif,32.01,68.79,49.0,0.04158,0.7908,51.1,5
071118_13 green_LineProfile_3.tif,30.17,110.0,38.0,0.05508,2.732,95.85,7
071118_13 green_LineProfile_4.tif,27.77,110.0,52.0,0.05168,2.954,96.22,5
071118_13 green_LineProfile_5.tif,31.3,73.95,47.0,0.04243,1.321,58.44,5
071118_13 green_LineProfile_6.tif,31.06,70.95,47.0,0.04322,0.996,65.98,8
071118_13 green_LineProfile_7.tif,29.9,110.0,60.0,0.05848,3.486,99.01,6
071118_13 green_LineProfile_8.tif,32.25,73.83,45.0,0.07076,2.31,54.11,4
071118_14 green_LineProfile_1.tif,39.52,60.0,47.0,0.03646,0.488,49.16,5
071118_14 green_LineProfile_2.tif,79.96,109.0,94.0,0.04075,0.7098,53.63,5
071118_14 green_LineProfile_3.tif,79.1,109.0,92.0,0.05619,1.082,58.4,5
071118_14 green_LineProfile_4.tif,78.12,109.0,95.0,0.03651,0.758,55.57,3
071118_14 green_LineProfile_5.tif,78.42,108.0,93.0,0.02962,0.5418,50.18,3
071118_14 green_LineProfile_6.tif,78.46,109.0,93.0,0.03187,0.5896,53.64,5
071118_14 green_LineProfile_7.tif,78.28,109.0,94.0,0.04937,1.085,57.02,5
071118_14 green_LineProfile_8.tif,76.96,109.0,92.0,0.05455,1.127,58.21,3
071118_16a green_LineProfile_1.tif,39.47,47.68,42.0,0.03545,0.1387,25.87,7
071118_16a green_LineProfile_2.tif,1.0,2.764,1.0,0.08715,0.08464,40.8,1
071118_16a green_LineProfile_3.tif,25.46,67.08,51.0,0.09763,2.214,98.15,4
071118_16a green_LineProfile_4.tif,41.87,60.67,59.0,0.06604,0.5852,62.5,6
071118_16a green_LineProfile_5.tif,28.21,66.68,52.0,0.1382,2.911,88.54,5
071118_16a green_LineProfile_6.tif,38.9,63.82,54.0,0.06376,1.015,80.73,9
071118_16a green_LineProfile_7.tif,22.15,66.89,46.0,0.0929,2.135,92.65,6
