,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
062718_12 green_LineProfile_2.tif,1.0,66.13,18.0,0.3697,17.45,53.79,1
062718_12 green_LineProfile_3.tif,1.0,66.55,17.0,0.5496,27.1,53.96,1
062718_12 green_LineProfile_4.tif,1.0,66.76,16.0,0.781,42.02,53.9,1
062718_12 green_LineProfile_5.tif,1.0,66.51,18.0,0.6352,33.69,53.52,1
062718_12 green_LineProfile_6.tif,1.0,66.37,14.0,0.4339,22.73,53.77,1
062718_12 green_LineProfile_7.tif,1.0,66.74,14.0,0.356,17.93,53.48,1
062718_12 green_LineProfile_8.tif,67.46,103.8,85.0,0.264,7.763,39.02,8
062718_13 green_LineProfile_1.tif,42.37,49.63,48.0,0.03256,0.1253,13.52,13
062718_13 green_LineProfile_2.tif,57.68,60.61,59.0,0.0326,0.04575,21.89,15
062718_13 green_LineProfile_3.tif,63.43,65.73,64.0,0.03025,0.04265,24.74,15
062718_13 green_LineProfile_4.tif,1.657,5.293,3.0,0.05428,0.09011,34.88,1
062718_13 green_LineProfile_5.tif,14.55,22.94,17.0,0.06134,0.212,20.05,3
062718_13 green_LineProfile_6.tif,1.699,13.91,9.0,0.04412,0.3389,28.15,1
062718_13 green_LineProfile_7.tif,10.0,21.0,13.0,0.05441,0.3514,28.78,2
062718_13 green_LineProfile_8.tif,1.0,13.8,4.0,0.04122,0.2979,32.51,1
062718_14 green_LineProfile_1.tif,98.16,105.9,103.0,0.04252,0.206,27.64,21
062718_14 green_LineProfile_2.tif,89.72,92.5,92.0,0.01736,0.02006,31.17,7
062718_14 green_LineProfile_3.tif,29.24,30.7,30.0,0.03037,0.02215,29.58,3
062718_14 green_LineProfile_4.tif,96.32,101.4,101.0,0.02211,0.06572,33.88,15
062718_14 green_LineProfile_5.tif,4.472,7.343,6.0,0.02611,0.05239,29.66,1
062718_14 green_LineProfile_6.tif,16.26,24.74,20.0,0.05264,0.2651,44.33,4
062718_14 green_LineProfile_7.tif,1.0,30.73,24.0,0.05718,0.932,51.07,1
062718_14 green_LineProfile_8.tif,93.09,104.9,100.0,0.02607,0.1813,22.74,21
062718_16 green_LineProfile_1.tif,44.46,116.6,79.0,0.1962,8.987,97.77,2
062718_16 green_LineProfile_2.tif,46.11,113.6,68.0,0.1256,4.808,96.47,3
062718_16 green_LineProfile_3.tif,46.1,113.8,67.0,0.1132,4.819,96.15,4
062718_16 green_LineProfile_4.tif,46.59,94.48,80.0,0.06468,1.504,73.4,3
062718_16 green_LineProfile_5.tif,66.41,98.49,73.0,0.04307,0.574,50.69,8
