,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
052418_12 green_LineProfile_1.tif,74.66,86.75,83.0,0.03549,0.1831,71.15,8
052418_12 green_LineProfile_2.tif,59.52,65.56,63.0,0.0752,0.2068,79.39,3
052418_12 green_LineProfile_6.tif,59.26,65.72,65.0,0.06667,0.1162,43.77,4
052418_12 green_LineProfile_7.tif,57.06,67.92,58.0,0.06811,0.3523,58.61,5
052418_12 green_LineProfile_8.tif,55.13,67.79,58.0,0.1117,0.6335,57.89,8
052418_13 green_LineProfile_1.tif,77.06,111.7,98.0,0.2272,3.646,52.49,8
052418_13 green_LineProfile_2.tif,7.04,32.17,19.0,0.3357,3.41,44.45,3
052418_13 green_LineProfile_5.tif,95.03,113.6,98.0,0.1207,1.191,42.31,18
052418_13 green_LineProfile_6.tif,7.154,32.25,19.0,0.09205,1.248,47.72,4
052418_13 green_LineProfile_7.tif,7.394,23.89,19.0,0.08575,0.7893,45.19,4
052418_13 green_LineProfile_8.tif,89.16,109.8,100.0,0.1981,1.442,40.48,15
052418_14 green_LineProfile_5.tif,62.82,83.99,66.0,0.1075,0.7248,34.5,14
052418_14 green_LineProfile_6.tif,60.09,81.96,73.0,0.1283,1.284,36.82,12
052418_14 green_LineProfile_7.tif,59.25,64.07,61.0,0.08859,0.1904,21.2,11
052418_14 green_LineProfile_8.tif,49.12,61.86,57.0,0.2329,0.7882,34.75,10
052418_19a green_LineProfile_2.tif,52.01,70.43,59.0,0.02269,0.2114,36.8,15
052418_19a green_LineProfile_3.tif,9.457,48.97,39.0,0.04072,0.7758,44.67,3
052418_19a green_LineProfile_4.tif,22.77,48.55,39.0,0.05982,0.6418,39.16,6
052418_19a green_LineProfile_5.tif,25.42,42.78,39.0,0.05068,0.3827,42.85,9
052418_19a green_LineProfile_6.tif,56.36,67.73,57.0,0.0259,0.1355,25.37,15
052418_19a green_LineProfile_7.tif,32.33,42.71,39.0,0.03554,0.1337,33.17,9
052418_19a green_LineProfile_8.tif,1.0,8.538,5.0,0.01694,0.06615,15.53,1
052418_19b green_LineProfile_1.tif,53.45,57.52,57.0,0.04228,0.05874,18.57,12
052418_19b green_LineProfile_2.tif,32.43,34.77,34.0,0.0519,0.08445,12.84,10
052418_19b green_LineProfile_3.tif,58.23,68.98,62.0,0.04027,0.2326,24.99,14
052418_19b green_LineProfile_4.tif,32.45,37.43,34.0,0.01806,0.04474,11.23,10
052418_19b green_LineProfile_5.tif,61.08,68.15,67.0,0.01391,0.04776,18.26,18
052418_19b green_LineProfile_6.tif,52.7,64.81,59.0,0.0207,0.1397,36.6,13
052418_19b green_LineProfile_7.tif,43.95,48.58,48.0,0.01866,0.05435,17.73,15
052418_19b green_LineProfile_8.tif,28.94,30.8,30.0,0.02859,0.02594,19.63,8
052418_110a green_LineProfile_2.tif,2.086,6.045,3.0,0.0335,0.06697,44.98,2
052418_110a green_LineProfile_3.tif,1.0,5.92,3.0,0.02974,0.0714,38.35,1
052418_110a green_LineProfile_4.tif,2.043,4.94,3.0,0.03724,0.0619,22.32,1
052418_110a green_LineProfile_5.tif,30.11,33.75,31.0,0.01478,0.02237,12.28,9
052418_110a green_LineProfile_6.tif,1.986,4.872,4.0,0.0472,0.0838,20.2,1
052418_110a green_LineProfile_7.tif,1.0,4.868,3.0,0.04075,0.07484,29.25,1
052418_110a green_LineProfile_8.tif,3.313,6.842,4.0,0.0143,0.02104,33.58,2
052418_110b green_LineProfile_1.tif,2.84,4.889,4.0,0.05491,0.05332,15.51,2
052418_110b green_LineProfile_2.tif,3.509,4.43,4.0,0.01731,0.007977,27.32,2
052418_110b green_LineProfile_3.tif,3.313,7.058,4.0,0.03439,0.04837,54.36,2
052418_110b green_LineProfile_4.tif,43.6,58.82,55.0,0.03665,0.1749,36.47,11
052418_110b green_LineProfile_5.tif,44.21,45.79,45.0,0.02052,0.01625,19.31,4
052418_110b green_LineProfile_6.tif,98.09,105.0,99.0,0.04169,0.1176,29.74,23
052418_110b green_LineProfile_7.tif,1.236,4.677,3.0,0.02735,0.04119,18.98,1
052418_110b green_LineProfile_8.tif,96.62,101.7,99.0,0.03235,0.08405,36.28,15
052418_111a green_LineProfile_2.tif,5.419,10.85,7.0,0.01634,0.04335,15.91,3
052418_111a green_LineProfile_3.tif,9.056,15.74,14.0,0.01476,0.06458,25.05,4
052418_111a green_LineProfile_4.tif,9.533,20.93,15.0,0.02463,0.1527,33.41,4
052418_111a green_LineProfile_5.tif,9.362,30.75,22.0,0.05479,0.3912,35.21,2
052418_111a green_LineProfile_6.tif,86.22,93.67,93.0,0.03004,0.1208,12.66,22
052418_111a green_LineProfile_7.tif,5.763,15.95,7.0,0.04422,0.1962,28.76,2
052418_111a green_LineProfile_8.tif,6.342,15.67,8.0,0.02166,0.07181,47.61,2
052418_111b green_LineProfile_1.tif,11.1,18.67,17.0,0.06121,0.234,20.94,4
052418_111b green_LineProfile_2.tif,8.637,20.71,15.0,0.05817,0.3497,19.0,2
052418_111b green_LineProfile_3.tif,8.827,15.65,10.0,0.02852,0.1071,22.77,3
052418_111b green_LineProfile_4.tif,19.27,25.44,22.0,0.04543,0.1049,12.32,7
052418_111b green_LineProfile_5.tif,5.672,7.625,7.0,0.05472,0.04626,28.04,3
052418_111b green_LineProfile_6.tif,8.399,15.98,10.0,0.03409,0.163,20.76,2
052418_111b green_LineProfile_7.tif,11.52,20.75,15.0,0.03296,0.1545,20.25,4
052418_111b green_LineProfile_8.tif,19.25,22.66,20.0,0.01755,0.03734,15.88,8
062118_12 green_LineProfile_1.tif,1.0,3.615,3.0,0.03389,0.04483,87.52,1
062118_12 green_LineProfile_4.tif,1.063,4.764,3.0,0.0246,0.05943,97.32,1
062118_12 green_LineProfile_5.tif,1.04,5.02,3.0,0.02295,0.04161,98.97,1
062118_12 green_LineProfile_6.tif,2.183,5.583,3.0,0.03302,0.07122,99.98,1
062118_12 green_LineProfile_7.tif,2.367,5.59,5.0,0.02857,0.05799,100.0,1
062118_12 green_LineProfile_8.tif,1.0,5.785,5.0,0.03206,0.07859,92.77,1
062118_13 green_LineProfile_1.tif,34.9,77.83,72.0,0.03476,0.7446,52.18,3
062118_13 green_LineProfile_2.tif,99.01,111.4,104.0,0.1354,0.6408,78.78,5
062118_13 green_LineProfile_3.tif,86.17,107.2,98.0,0.03877,0.3117,79.39,5
062118_13 green_LineProfile_4.tif,93.0,106.7,98.0,0.08473,0.4271,70.67,5
062118_13 green_LineProfile_5.tif,91.61,104.9,96.0,0.05313,0.3181,80.9,4
062118_13 green_LineProfile_6.tif,93.18,106.8,100.0,0.08103,0.5485,92.99,4
062118_13 green_LineProfile_7.tif,93.18,113.0,102.0,0.1082,0.9337,98.41,4
062118_13 green_LineProfile_8.tif,91.02,115.0,102.0,0.1102,1.211,95.34,6
062118_16 green_LineProfile_1.tif,34.27,44.78,43.0,0.05486,0.3055,54.87,4
062118_16 green_LineProfile_2.tif,28.29,51.12,43.0,0.07797,0.7888,92.88,5
062118_16 green_LineProfile_3.tif,26.39,51.5,39.0,0.06932,0.908,96.93,3
062118_16 green_LineProfile_4.tif,28.1,49.93,35.0,0.08515,0.9188,89.77,4
062118_16 green_LineProfile_5.tif,28.13,49.87,35.0,0.06667,0.7126,92.65,3
062118_16 green_LineProfile_6.tif,20.54,57.52,37.0,0.04525,0.6819,74.15,3
062118_16 green_LineProfile_7.tif,53.02,87.0,80.0,0.0792,1.433,70.54,6
062118_16 green_LineProfile_8.tif,67.0,87.0,78.0,0.1642,1.966,49.04,8
062118_17 green_LineProfile_2.tif,1.0,8.685,2.0,0.05041,0.242,60.02,1
062118_17 green_LineProfile_3.tif,1.0,17.88,8.0,0.05731,0.5148,80.69,1
062118_17 green_LineProfile_4.tif,3.267,12.64,10.0,0.03958,0.1779,74.01,2
062118_17 green_LineProfile_5.tif,1.0,22.51,12.0,0.05924,0.6568,98.95,1
062118_17 green_LineProfile_6.tif,1.0,23.0,10.0,0.03452,0.4024,89.3,1
062118_17 green_LineProfile_7.tif,51.42,86.0,79.0,0.03129,0.6199,49.35,3
062118_17 green_LineProfile_8.tif,20.5,86.0,53.0,0.0828,3.017,92.24,2
062118_18 green_LineProfile_1.tif,33.08,51.92,35.0,0.05568,0.5637,80.9,5
062118_18 green_LineProfile_2.tif,29.07,45.54,38.0,0.06065,0.5082,87.91,1
062118_18 green_LineProfile_3.tif,29.97,50.91,34.0,0.05651,0.5571,89.86,4
062118_18 green_LineProfile_4.tif,27.37,52.85,37.0,0.07661,0.9454,99.08,3
062118_18 green_LineProfile_5.tif,24.69,52.48,43.0,0.06774,1.019,92.84,2
062118_18 green_LineProfile_6.tif,27.94,45.9,32.0,0.02795,0.2229,99.79,1
062118_18 green_LineProfile_7.tif,65.52,83.76,71.0,0.0293,0.164,70.48,7
062118_18 green_LineProfile_8.tif,65.02,83.78,71.0,0.06912,0.8413,54.26,6
062118_111 green_LineProfile_2.tif,63.24,91.68,66.0,0.1097,0.9848,46.33,15
062118_111 green_LineProfile_3.tif,1.0,109.0,88.0,0.08888,4.179,100.0,1
062118_111 green_LineProfile_5.tif,45.04,109.0,93.0,0.08749,2.884,68.81,2
062118_111 green_LineProfile_6.tif,52.18,109.0,66.0,0.06989,1.891,67.23,7
062118_111 green_LineProfile_7.tif,41.92,109.0,69.0,0.0611,2.015,78.9,6
062118_111 green_LineProfile_8.tif,41.11,109.0,82.0,0.1091,2.857,72.72,3
062118_111 green_LineProfile_9.tif,59.51,90.71,88.0,0.07756,1.074,41.4,10
062118_112 green_LineProfile_1.tif,93.4,110.0,108.0,0.06725,0.5552,59.14,18
062118_112 green_LineProfile_2.tif,105.5,110.0,108.0,0.05631,0.148,27.65,20
062118_112 green_LineProfile_3.tif,104.4,110.0,110.0,0.09447,0.264,25.44,24
062118_112 green_LineProfile_6.tif,96.18,110.0,101.0,0.09771,0.6697,35.93,20
062118_112 green_LineProfile_7.tif,12.03,25.52,21.0,0.05803,0.3322,25.5,2
062118_112 green_LineProfile_8.tif,8.046,10.48,9.0,0.02669,0.03911,29.57,4
062118_112 green_LineProfile_9.tif,97.4,98.83,98.0,0.02745,0.01963,55.03,5
062118_113 green_LineProfile_1.tif,86.11,111.0,100.0,0.1143,1.695,45.59,9
062118_113 green_LineProfile_6.tif,96.07,111.0,104.0,0.04573,0.4187,49.77,28
062118_113 green_LineProfile_7.tif,91.35,103.9,101.0,0.04389,0.2486,36.38,21
062118_113 green_LineProfile_8.tif,95.18,111.0,110.0,0.04761,0.4355,67.16,18
062118_113 green_LineProfile_10.tif,40.4,80.93,54.0,0.04295,0.6907,30.06,4
070518_12 green_LineProfile_1.tif,65.6,116.6,94.0,0.0875,1.761,59.13,3
070518_12 green_LineProfile_2.tif,15.51,44.96,33.0,0.05107,0.5648,43.38,2
070518_12 green_LineProfile_3.tif,81.19,104.9,92.0,0.03735,0.5723,33.12,7
070518_12 green_LineProfile_4.tif,65.96,116.0,87.0,0.03042,0.7999,67.74,6
070518_12 green_LineProfile_5.tif,17.55,18.21,18.0,0.00518,0.001712,79.36,1
070518_12 green_LineProfile_6.tif,23.28,29.11,24.0,0.009402,0.02771,26.64,3
070518_12 green_LineProfile_7.tif,73.44,75.49,74.0,0.009007,0.01142,48.54,6
070518_12 green_LineProfile_8.tif,7.625,9.546,8.0,0.003096,0.004523,29.91,2
070518_13 green_LineProfile_2.tif,54.41,81.82,72.0,0.03682,0.6199,61.51,9
070518_13 green_LineProfile_3.tif,64.39,75.92,69.0,0.04607,0.3296,45.15,11
070518_13 green_LineProfile_4.tif,54.14,82.98,73.0,0.02991,0.5326,57.13,7
070518_13 green_LineProfile_5.tif,54.9,81.43,67.0,0.01449,0.2356,57.33,11
070518_13 green_LineProfile_6.tif,3.235,6.745,4.0,0.01284,0.02244,17.5,2
070518_13 green_LineProfile_7.tif,78.76,82.72,80.0,0.01329,0.01857,14.69,17
070518_13 green_LineProfile_8.tif,77.0,120.0,116.0,0.02791,0.7224,57.8,7
070518_14 green_LineProfile_2.tif,54.01,62.22,58.0,0.03571,0.1775,59.44,5
070518_14 green_LineProfile_3.tif,2.601,4.521,4.0,0.01556,0.02011,49.58,2
070518_14 green_LineProfile_4.tif,56.34,58.71,58.0,0.00733,0.01127,68.39,4
070518_14 green_LineProfile_5.tif,56.35,60.34,57.0,0.006029,0.01292,43.84,5
070518_14 green_LineProfile_6.tif,42.9,43.11,43.0,0.001276,0.0001303,100.0,1
070518_14 green_LineProfile_7.tif,64.22,75.09,65.0,0.01533,0.0873,41.71,15
070518_14 green_LineProfile_8.tif,58.11,88.14,80.0,0.02849,0.5655,51.15,8
070518_17 green_LineProfile_4.tif,1.0,26.84,11.0,0.05095,0.5966,50.45,1
070518_17 green_LineProfile_5.tif,96.28,102.0,97.0,0.007209,0.0133,33.31,7
070518_17 green_LineProfile_6.tif,111.2,120.0,112.0,0.01277,0.03706,38.96,9
070518_17 green_LineProfile_7.tif,59.32,64.95,62.0,0.01415,0.05876,53.91,5
070518_17 green_LineProfile_8.tif,61.41,62.91,62.0,0.01111,0.00832,86.41,1
070518_18 green_LineProfile_1.tif,1.149,59.85,7.0,0.03117,0.9241,69.29,1
070518_18 green_LineProfile_2.tif,1.0,46.9,41.0,0.03114,0.7543,71.46,1
070518_18 green_LineProfile_3.tif,1.0,44.74,41.0,0.03561,0.7708,66.41,1
070518_18 green_LineProfile_4.tif,1.0,57.69,6.0,0.04842,1.192,82.81,1
070518_18 green_LineProfile_5.tif,1.052,26.96,10.0,0.02554,0.3528,54.12,1
070518_18 green_LineProfile_6.tif,12.75,23.83,16.0,0.02535,0.1406,29.33,2
070518_18 green_LineProfile_7.tif,1.0,18.93,7.0,0.06065,0.458,37.77,1
070518_19 green_LineProfile_1.tif,1.0,34.72,5.0,0.06777,1.027,37.5,1
070518_19 green_LineProfile_2.tif,87.88,105.6,98.0,0.1908,2.013,40.05,9
070518_19 green_LineProfile_4.tif,99.82,104.4,102.0,0.01385,0.03179,29.57,18
070518_19 green_LineProfile_5.tif,1.0,18.54,5.0,0.03308,0.4118,29.67,1
070518_19 green_LineProfile_7.tif,92.52,104.9,95.0,0.0409,0.2477,40.98,13
071518_32 green_LineProfile_1.tif,100.1,104.4,103.0,0.005515,0.01154,37.65,6
071518_32 green_LineProfile_2.tif,98.17,107.8,104.0,0.007072,0.04214,44.41,14
071518_32 green_LineProfile_3.tif,3.236,4.764,4.0,0.003425,0.002616,70.71,1
071518_32 green_LineProfile_4.tif,1.0,3.041,1.0,0.002937,0.002266,78.54,1
071518_32 green_LineProfile_5.tif,63.17,85.48,76.0,0.01011,0.09786,38.58,5
071518_32 green_LineProfile_6.tif,14.77,35.05,31.0,0.01639,0.1962,42.39,2
