,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
020918_12 green_LineProfile_1.tif,34.43,115.0,51.0,0.04416,1.718,99.98,2
020918_12 green_LineProfile_2.tif,82.38,115.0,115.0,0.05035,0.6521,48.92,6
020918_12 green_LineProfile_3.tif,30.18,62.18,47.0,0.06149,0.843,59.33,7
020918_12 green_LineProfile_4.tif,36.91,62.53,47.0,0.05324,0.7041,68.65,5
020918_12 green_LineProfile_5.tif,22.35,28.56,27.0,0.02734,0.06498,45.75,4
020918_12 green_LineProfile_6.tif,9.444,19.97,17.0,0.0241,0.1334,38.03,2
020918_12 green_LineProfile_7.tif,3.026,16.75,13.0,0.02466,0.152,75.71,2
020918_12 green_LineProfile_8.tif,1.0,14.75,8.0,0.05523,0.3359,72.6,1
020918_13 green_LineProfile_1.tif,6.192,115.0,39.0,0.2392,19.7,99.8,2
020918_13 green_LineProfile_2.tif,6.277,115.0,38.0,0.1701,13.99,99.48,2
020918_13 green_LineProfile_3.tif,6.028,115.0,36.0,0.1,7.044,99.56,2
020918_13 green_LineProfile_4.tif,2.161,115.0,111.0,0.145,9.967,99.94,2
020918_13 green_LineProfile_5.tif,1.0,36.95,21.0,0.04002,0.7719,78.57,1
020918_13 green_LineProfile_6.tif,1.0,17.8,8.0,0.02455,0.1652,77.12,1
020918_13 green_LineProfile_7.tif,1.0,30.19,8.0,0.03246,0.4188,100.0,1
020918_13 green_LineProfile_8.tif,1.902,8.344,5.0,0.02179,0.05863,90.82,1
020918_14 green_LineProfile_1.tif,114.9,115.0,115.0,0.001362,7.479e-05,100.0,1
020918_14 green_LineProfile_2.tif,68.24,78.79,78.0,0.0147,0.07543,47.47,5
020918_14 green_LineProfile_3.tif,33.35,52.22,38.0,0.02421,0.2272,35.8,1
020918_14 green_LineProfile_4.tif,32.0,80.0,37.0,0.03535,0.9212,82.97,2
020918_14 green_LineProfile_5.tif,32.29,81.36,37.0,0.03709,0.9485,85.5,2
020918_14 green_LineProfile_6.tif,32.92,51.75,47.0,0.01943,0.1832,59.77,1
020918_14 green_LineProfile_7.tif,30.32,52.6,41.0,0.03353,0.3695,68.59,2
020918_14 green_LineProfile_8.tif,32.69,50.83,46.0,0.01844,0.2041,83.12,1
020918_16 green_LineProfile_2.tif,33.56,54.83,51.0,0.1355,1.329,54.76,3
020918_16 green_LineProfile_3.tif,71.46,83.46,75.0,0.05751,0.3887,20.92,11
020918_16 green_LineProfile_6.tif,90.03,97.66,91.0,0.04819,0.1876,33.68,13
020918_16 green_LineProfile_7.tif,1.0,24.35,4.0,0.07658,0.739,36.43,1
020918_16 green_LineProfile_8.tif,54.49,85.65,82.0,0.2137,3.142,60.62,7
020918_17 green_LineProfile_3.tif,1.0,52.96,4.0,0.1689,2.505,64.0,1
020918_17 green_LineProfile_4.tif,33.06,73.65,66.0,0.131,2.949,39.74,2
020918_17 green_LineProfile_5.tif,80.37,96.92,95.0,0.07245,0.588,22.53,14
020918_17 green_LineProfile_6.tif,33.09,48.0,44.0,0.06987,0.5395,21.43,6
020918_17 green_LineProfile_7.tif,70.08,104.0,93.0,0.0541,0.8121,33.18,7
020918_17 green_LineProfile_8.tif,1.0,23.89,8.0,0.07802,0.7908,32.74,1
020918_18 green_LineProfile_1.tif,3.145,40.88,30.0,0.09138,1.492,70.26,2
020918_18 green_LineProfile_2.tif,10.96,20.06,15.0,0.02126,0.1196,42.32,1
020918_18 green_LineProfile_3.tif,88.03,104.0,99.0,0.03772,0.3522,23.51,16
020918_18 green_LineProfile_4.tif,21.89,41.16,33.0,0.0582,0.4515,59.03,3
020918_18 green_LineProfile_7.tif,1.0,36.0,5.0,0.1251,1.163,66.69,1
020918_18 green_LineProfile_8.tif,1.0,16.97,5.0,0.06472,0.4725,39.1,1
021218_12 green_LineProfile_1.tif,17.54,99.0,81.0,0.04799,2.304,99.08,2
021218_12 green_LineProfile_2.tif,68.42,99.0,89.0,0.05867,0.9758,57.87,4
021218_12 green_LineProfile_3.tif,19.86,45.97,32.0,0.02383,0.3235,45.78,7
021218_12 green_LineProfile_4.tif,2.021,48.5,31.0,0.03795,0.6527,61.99,2
021218_12 green_LineProfile_5.tif,63.21,99.0,95.0,0.06256,1.052,47.19,6
021218_12 green_LineProfile_6.tif,78.26,99.0,96.0,0.08159,1.006,42.05,12
021218_12 green_LineProfile_7.tif,82.69,88.76,85.0,0.02406,0.07018,25.23,13
021218_12 green_LineProfile_8.tif,1.0,44.56,39.0,0.09363,2.265,59.22,1
021218_13 green_LineProfile_1.tif,2.0,2.0,2.0,0.0,0.0,,1
021218_13 green_LineProfile_2.tif,1.0,5.979,2.0,0.01476,0.03183,75.69,1
021218_13 green_LineProfile_3.tif,1.0,10.38,2.0,0.01516,0.07437,70.57,1
021218_13 green_LineProfile_4.tif,1.0,26.02,12.0,0.02038,0.2766,98.11,1
021218_13 green_LineProfile_5.tif,1.0,10.05,1.0,0.02003,0.1009,60.43,1
021218_13 green_LineProfile_6.tif,1.0,2.549,1.0,0.01409,0.01153,95.92,1
021218_13 green_LineProfile_7.tif,1.0,3.479,2.0,0.01089,0.01667,100.0,1
021218_13 green_LineProfile_8.tif,1.0,3.462,2.0,0.02804,0.04343,95.93,1
021218_14 green_LineProfile_1.tif,2.418,6.296,4.0,0.01006,0.02352,64.14,1
021218_14 green_LineProfile_2.tif,26.28,36.26,32.0,0.02042,0.09812,71.87,4
021218_14 green_LineProfile_3.tif,35.75,36.13,36.0,0.000722,0.000136,100.0,1
021218_14 green_LineProfile_4.tif,34.6,35.11,35.0,0.001408,0.0003597,100.0,1
021218_14 green_LineProfile_5.tif,31.39,33.93,33.0,0.01453,0.01697,88.57,2
021218_14 green_LineProfile_6.tif,28.47,32.56,31.0,0.01726,0.03769,85.46,2
021218_14 green_LineProfile_7.tif,93.63,97.62,96.0,0.0274,0.04165,38.92,11
021218_14 green_LineProfile_8.tif,14.31,16.48,16.0,0.04606,0.06667,31.42,3
021218_16 green_LineProfile_1.tif,32.85,35.6,34.0,0.01442,0.0248,36.16,3
021218_16 green_LineProfile_2.tif,73.47,80.3,77.0,0.02644,0.08077,41.87,13
021218_16 green_LineProfile_3.tif,62.54,65.94,64.0,0.01867,0.03728,21.64,8
021218_16 green_LineProfile_4.tif,41.9,43.4,43.0,0.007641,0.006272,26.09,5
021218_16 green_LineProfile_5.tif,1.078,3.294,3.0,0.005857,0.005835,40.68,1
021218_16 green_LineProfile_6.tif,3.128,10.35,8.0,0.01156,0.03691,47.63,2
021218_16 green_LineProfile_7.tif,1.0,4.628,2.0,0.01193,0.02809,99.19,1
021218_16 green_LineProfile_8.tif,12.46,17.83,15.0,0.008246,0.02386,44.1,5
021218_17 green_LineProfile_1.tif,39.4,45.83,41.0,0.03452,0.1078,38.9,4
