,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
021218_22 green_LineProfile_1.tif,70.47,115.0,105.0,0.04704,1.384,92.88,4
021218_22 green_LineProfile_2.tif,72.78,115.0,105.0,0.06049,1.44,99.18,6
021218_22 green_LineProfile_3.tif,95.39,115.0,106.0,0.05918,0.6864,70.41,2
021218_22 green_LineProfile_4.tif,72.46,115.0,106.0,0.1059,2.317,95.83,4
021218_22 green_LineProfile_5.tif,72.14,115.0,106.0,0.1113,2.362,91.02,5
021218_22 green_LineProfile_6.tif,66.3,115.0,106.0,0.1055,2.165,90.57,5
021218_22 green_LineProfile_7.tif,63.24,115.0,106.0,0.1093,2.766,83.36,8
021218_22 green_LineProfile_8.tif,70.01,115.0,106.0,0.1524,4.596,84.52,12
021218_23 green_LineProfile_1.tif,19.2,117.0,103.0,0.1267,9.202,99.97,2
021218_23 green_LineProfile_2.tif,19.54,117.0,115.0,0.1178,7.161,100.0,1
021218_23 green_LineProfile_3.tif,19.61,117.0,75.0,0.1253,7.461,100.0,1
021218_23 green_LineProfile_4.tif,19.64,117.0,92.0,0.1187,7.221,100.0,1
021218_23 green_LineProfile_5.tif,19.7,117.0,92.0,0.1356,7.848,100.0,1
021218_23 green_LineProfile_6.tif,19.42,117.0,105.0,0.1493,9.198,100.0,1
021218_23 green_LineProfile_7.tif,19.29,117.0,108.0,0.1158,7.459,99.8,2
021218_23 green_LineProfile_8.tif,19.36,117.0,115.0,0.1666,11.55,100.0,1
021218_24 green_LineProfile_1.tif,57.8,96.38,78.0,0.05427,0.9154,79.74,1
021218_24 green_LineProfile_2.tif,56.49,96.96,78.0,0.08465,1.664,73.1,4
021218_24 green_LineProfile_3.tif,60.15,96.77,78.0,0.05952,1.189,71.1,1
021218_24 green_LineProfile_4.tif,60.54,91.91,78.0,0.04878,0.8271,58.79,1
021218_24 green_LineProfile_5.tif,60.29,96.91,78.0,0.04096,0.9323,66.42,1
021218_24 green_LineProfile_6.tif,60.22,117.0,117.0,0.04552,1.316,100.0,1
021218_24 green_LineProfile_7.tif,67.34,96.59,74.0,0.02046,0.3032,72.61,1
021218_24 green_LineProfile_8.tif,72.64,101.7,95.0,0.01971,0.2632,74.77,3
021218_26 green_LineProfile_1.tif,75.78,115.0,114.0,0.1869,4.24,98.02,5
021218_26 green_LineProfile_2.tif,67.92,115.0,114.0,0.1733,4.696,100.0,1
021218_26 green_LineProfile_3.tif,68.36,115.0,113.0,0.1716,5.407,100.0,1
021218_26 green_LineProfile_4.tif,67.75,115.0,85.0,0.1253,4.683,100.0,1
021218_26 green_LineProfile_5.tif,67.02,115.0,85.0,0.1452,5.806,99.86,2
021218_26 green_LineProfile_6.tif,38.65,115.0,114.0,0.2511,10.68,97.54,6
021218_26 green_LineProfile_7.tif,6.027,113.5,96.0,0.203,12.71,100.0,1
021218_26 green_LineProfile_8.tif,1.407,113.5,81.0,0.172,11.73,100.0,1
021218_27 green_LineProfile_1.tif,27.97,114.0,82.0,0.08617,4.612,98.19,2
021218_27 green_LineProfile_2.tif,27.95,114.0,80.0,0.113,6.713,98.66,2
021218_27 green_LineProfile_3.tif,25.82,114.0,78.0,0.1244,7.498,97.77,2
021218_27 green_LineProfile_4.tif,25.72,114.0,82.0,0.1424,8.0,98.58,2
021218_27 green_LineProfile_5.tif,1.52,114.0,81.0,0.09721,6.1,100.0,1
021218_28 green_LineProfile_1.tif,51.14,117.0,103.0,0.06328,2.649,100.0,1
021218_28 green_LineProfile_2.tif,50.74,101.7,86.0,0.04443,1.334,82.3,1
021218_28 green_LineProfile_3.tif,48.1,90.76,56.0,0.02718,0.5012,91.66,2
021218_28 green_LineProfile_4.tif,45.25,59.99,53.0,0.02189,0.1786,70.14,1
