,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
080417_12 green_LineProfile_1.tif,47.56,67,59,0.1245,1.687,74.47,15
080417_12 green_LineProfile_2.tif,51.01,67,59,0.06621,0.6452,72.65,12
080417_12 green_LineProfile_3.tif,49.16,67,65,0.06287,0.7669,72.69,13
080417_12 green_LineProfile_4.tif,49.3,67,53,0.08066,0.8022,59.39,13
080417_12 green_LineProfile_5.tif,1,67,36,0.07893,3.288,100,1
080417_12 green_LineProfile_6.tif,1,67,32,0.1178,5.405,100,1
080417_12 green_LineProfile_7.tif,1,67,32,0.172,7.323,100,1
080417_12 green_LineProfile_8.tif,1,67,25,0.1374,6.34,100,1
081017_12 green_LineProfile_1.tif,16.55,31.9,18,0.1272,1.193,70.82,5
081017_12 green_LineProfile_2.tif,16.08,28.8,28,0.09244,0.5378,90.07,6
081017_12 green_LineProfile_3.tif,13.22,30.97,22,0.1032,0.7417,75.09,4
081017_12 green_LineProfile_4.tif,5.932,33.6,22,0.0776,1.209,98.59,2
081017_12 green_LineProfile_5.tif,10.39,31.75,15,0.08988,1.053,79.52,5
081017_12 green_LineProfile_6.tif,4.793,34.57,19,0.1112,1.738,93.41,2
081017_12 green_LineProfile_7.tif,4.369,34.74,28,0.1724,2.458,94.82,1
081017_12 green_LineProfile_8.tif,3.872,35.89,29,0.1561,2.976,94.26,1
081017_13 green_LineProfile_1.tif,1,1.43,1,0.0122,0.002621,100,1
081017_13 green_LineProfile_2.tif,42.04,48.39,43,0.02884,0.08651,65.87,3
081017_13 green_LineProfile_3.tif,,,,,,,1
081017_13 green_LineProfile_4.tif,30.77,34.89,33,0.2035,0.4358,31.87,8
081017_13 green_LineProfile_5.tif,81.43,82,82,0.01315,0.003755,100,1
081017_13 green_LineProfile_6.tif,81.51,82,82,0.008799,0.002157,100,1
081017_13 green_LineProfile_7.tif,70.87,82,82,0.05319,0.3354,100,1
081017_13 green_LineProfile_8.tif,71.13,82,81,0.0723,0.5353,100,1
081017_14 green_LineProfile_2.tif,1,3.977,1,0.01052,0.02368,99.97,1
081017_14 green_LineProfile_3.tif,1,4.646,1,0.01108,0.02053,79.09,1
081017_14 green_LineProfile_4.tif,77.68,79.32,78,0.007021,0.006324,99.96,2
081017_14 green_LineProfile_5.tif,10.49,12.29,11,0.009735,0.01025,67.9,2
081017_14 green_LineProfile_6.tif,49.15,51.09,50,0.008748,0.008527,52.36,3
081017_14 green_LineProfile_7.tif,48.48,52.21,50,0.02377,0.04093,28.83,7
081017_14 green_LineProfile_8.tif,45.8,55.67,47,0.05131,0.3091,78.63,3
081017_15 green_LineProfile_1.tif,65.87,68.34,68,0.02272,0.04175,51.46,2
081017_15 green_LineProfile_2.tif,65.91,68.45,68,0.01757,0.0209,100,1
081017_15 green_LineProfile_3.tif,74.82,75.26,75,0.006974,0.001529,100,1
