,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
051817_12_green_LineProfile_1.tif,3.201,13.37,6,0.01865,0.1093,71.35,2
051817_12_green_LineProfile_2.tif,15.28,27.51,23,0.01842,0.1043,65.7,3
051817_12_green_LineProfile_3.tif,3.776,29.01,22,0.03014,0.3905,86.14,1
051817_12_green_LineProfile_4.tif,4.135,27.71,16,0.03015,0.3731,83.83,1
051817_12_green_LineProfile_5.tif,11.32,19.82,16,0.02589,0.09824,78.72,2
051817_12_green_LineProfile_6.tif,4.965,20.68,14,0.02363,0.1455,100,1
051817_12_green_LineProfile_7.tif,5.235,17.42,14,0.02642,0.1481,99.8,2
051817_12_green_LineProfile_8.tif,5.555,16.1,14,0.0179,0.1028,97.46,2
051817_12b_green_LineProfile_1.tif,42.18,44.24,44,0.02612,0.02527,39.64,7
051817_12b_green_LineProfile_2.tif,42.7,43.35,43,0.009164,0.002936,79.16,2
051817_12b_green_LineProfile_3.tif,6.741,14.79,14,0.03357,0.1004,53.21,2
051817_12b_green_LineProfile_4.tif,1,16.41,10,0.05392,0.4099,66.91,1
051817_12b_green_LineProfile_5.tif,2.113,15.64,12,0.03689,0.3008,73.85,2
051817_12b_green_LineProfile_6.tif,7.599,15.44,11,0.0394,0.1533,39.57,2
051817_12b_green_LineProfile_7.tif,1,17.29,10,0.08627,0.7577,64.58,1
051817_12b_green_LineProfile_8.tif,39.14,45.27,42,0.04751,0.1408,43.64,6
051817_14_green_LineProfile_1.tif,49.2,71,63,0.05859,0.7978,39.55,6
051817_14_green_LineProfile_2.tif,30.31,71,61,0.05253,1.164,71.26,5
051817_14_green_LineProfile_3.tif,50.49,71,62,0.05436,0.5816,51.28,4
051817_14_green_LineProfile_4.tif,45.54,67.6,61,0.02951,0.266,58.42,3
051817_14_green_LineProfile_5.tif,49.76,56.97,51,0.01289,0.04059,40.42,3
051817_14_green_LineProfile_6.tif,12.98,19.27,16,0.0205,0.06442,77.02,1
051817_14_green_LineProfile_7.tif,12.58,18.57,16,0.01815,0.06457,71.57,1
051817_14_green_LineProfile_8.tif,66.21,70.5,70,0.008259,0.01638,54.19,6
051817_14b_green_LineProfile_1.tif,4.037,7.44,5,0.03578,0.06203,48.74,2
051817_14b_green_LineProfile_2.tif,3.45,7.767,5,0.06104,0.1159,55.54,2
051817_14b_green_LineProfile_3.tif,1,7.816,1,0.04018,0.1529,82.94,1
051817_14b_green_LineProfile_4.tif,4.144,7.524,5,0.0575,0.124,50.07,3
051817_14b_green_LineProfile_5.tif,1,7.89,1,0.08164,0.2552,48.86,1
051817_14b_green_LineProfile_6.tif,2.357,7.793,5,0.06046,0.1912,45.38,2
051817_14b_green_LineProfile_7.tif,1,7.821,1,0.05754,0.1803,50.71,1
051817_14b_green_LineProfile_8.tif,1,7.365,5,0.05272,0.1767,45.69,1
053117_12_green_LineProfile_5.tif,15.73,19.5,18,0.0268,0.06159,33.41,3
053117_12_green_LineProfile_6.tif,1,19.66,2,0.03792,0.3748,97.38,1
053117_12_green_LineProfile_7.tif,1,2.465,1,0.01165,0.01138,51.88,1
053117_12_green_LineProfile_8.tif,1.036,2.848,2,0.01644,0.0149,72.48,1
121117_13_green_LineProfile_1.tif,80.21,86.28,81,0.03426,0.1153,34.46,6
