,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
021618_12 green_LineProfile_1.tif,2.798,5.89,5.0,0.02387,0.02928,56.46,2
021618_12 green_LineProfile_2.tif,4.374,5.401,5.0,0.01565,0.00803,25.97,3
021618_12 green_LineProfile_3.tif,6.281,7.615,7.0,0.03059,0.0204,22.7,4
021618_12 green_LineProfile_4.tif,4.134,5.821,5.0,0.03702,0.03121,17.88,3
021618_12 green_LineProfile_5.tif,1.0,5.952,1.0,0.05755,0.1253,47.1,1
021618_12 green_LineProfile_6.tif,2.448,5.684,5.0,0.02799,0.04426,37.18,2
021618_12 green_LineProfile_7.tif,1.0,5.315,1.0,0.05852,0.08527,67.14,1
021618_12 green_LineProfile_8.tif,4.243,5.356,5.0,0.01776,0.009881,38.22,2
021618_13 green_LineProfile_1.tif,1.0,2.888,1.0,0.004655,0.006076,32.84,1
021618_13 green_LineProfile_2.tif,27.09,31.83,30.0,0.01702,0.03717,21.24,10
021618_13 green_LineProfile_3.tif,1.303,2.604,2.0,0.01164,0.007576,36.53,1
021618_13 green_LineProfile_4.tif,31.71,32.39,32.0,0.009615,0.003269,21.27,7
021618_13 green_LineProfile_5.tif,39.47,40.67,40.0,0.01672,0.01001,7.782,16
021618_13 green_LineProfile_6.tif,39.62,40.57,40.0,0.01048,0.004947,45.07,5
021618_13 green_LineProfile_7.tif,1.293,2.803,2.0,0.01328,0.01003,15.15,1
021618_13 green_LineProfile_8.tif,1.505,4.549,2.0,0.01801,0.02783,37.71,1
021618_14 green_LineProfile_1.tif,3.488,4.696,4.0,0.0157,0.009489,26.84,2
021618_14 green_LineProfile_2.tif,86.22,91.89,89.0,0.02104,0.07044,42.21,16
021618_14 green_LineProfile_3.tif,7.586,8.526,8.0,0.01031,0.004846,23.19,3
021618_14 green_LineProfile_4.tif,3.636,4.259,4.0,0.002732,0.0008508,36.88,2
021618_14 green_LineProfile_5.tif,1.474,4.798,4.0,0.01256,0.02478,62.77,1
021618_14 green_LineProfile_6.tif,17.14,22.48,18.0,0.01806,0.05479,38.17,3
021618_14 green_LineProfile_7.tif,86.5,91.73,87.0,0.0116,0.03107,36.09,11
021618_14 green_LineProfile_8.tif,1.258,2.657,2.0,0.02548,0.01782,46.77,1
021618_22 green_LineProfile_1.tif,34.31,36.34,35.0,0.02631,0.03384,62.48,3
021618_22 green_LineProfile_2.tif,33.97,36.36,35.0,0.02569,0.03906,52.34,2
