,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
021618_12 green_LineProfile_1.tif,1.798,4.89,4.0,0.02387,0.02928,57.85,1
021618_12 green_LineProfile_2.tif,3.374,4.401,4.0,0.01565,0.00803,34.86,2
021618_12 green_LineProfile_3.tif,5.281,6.615,6.0,0.03059,0.0204,28.38,3
021618_12 green_LineProfile_4.tif,3.134,4.821,4.0,0.03702,0.03121,20.93,2
021618_12 green_LineProfile_5.tif,1.0,4.952,2.0,0.04244,0.09575,40.49,1
021618_12 green_LineProfile_6.tif,1.448,4.684,4.0,0.02799,0.04426,41.63,1
021618_12 green_LineProfile_7.tif,1.0,4.315,2.0,0.02692,0.04952,54.26,1
021618_12 green_LineProfile_8.tif,3.243,4.356,4.0,0.01776,0.009881,49.77,1
021618_13 green_LineProfile_1.tif,14.86,16.53,16.0,0.003919,0.003383,23.84,5
021618_13 green_LineProfile_2.tif,26.09,30.83,29.0,0.01702,0.03717,22.18,10
021618_13 green_LineProfile_3.tif,28.49,29.48,29.0,0.007788,0.003861,23.15,5
021618_13 green_LineProfile_4.tif,30.71,31.39,31.0,0.009615,0.003269,22.49,7
021618_13 green_LineProfile_5.tif,38.47,39.67,39.0,0.01672,0.01001,7.957,16
021618_13 green_LineProfile_6.tif,38.62,39.57,39.0,0.01048,0.004947,45.07,5
021618_13 green_LineProfile_7.tif,38.41,39.87,39.0,0.01328,0.009658,15.71,14
021618_13 green_LineProfile_8.tif,1.0,3.549,1.0,0.01801,0.02338,33.71,1
021618_14 green_LineProfile_1.tif,2.488,3.696,3.0,0.0157,0.009489,31.3,2
021618_14 green_LineProfile_2.tif,85.22,90.89,88.0,0.02104,0.07044,43.49,16
021618_14 green_LineProfile_3.tif,6.586,7.526,7.0,0.01031,0.004846,23.55,3
021618_14 green_LineProfile_4.tif,2.636,3.259,3.0,0.002732,0.0008508,37.74,2
021618_14 green_LineProfile_5.tif,1.0,3.798,3.0,0.01256,0.02205,59.99,1
021618_14 green_LineProfile_6.tif,16.14,21.48,17.0,0.01806,0.05479,38.17,3
021618_14 green_LineProfile_7.tif,85.5,90.73,86.0,0.0116,0.03107,39.18,11
021618_14 green_LineProfile_8.tif,4.446,5.433,5.0,0.02171,0.01071,37.39,3
021618_22 green_LineProfile_1.tif,33.31,35.34,34.0,0.02631,0.03384,67.57,2
021618_22 green_LineProfile_2.tif,32.97,35.36,34.0,0.02569,0.03906,52.34,2
021618_22 green_LineProfile_3.tif,,,,,,,1
021618_22 green_LineProfile_4.tif,32.75,35.44,35.0,0.004677,0.00632,54.35,3
021618_22 green_LineProfile_5.tif,2.224,3.326,3.0,0.001214,0.000669,100.0,1
021618_22 green_LineProfile_6.tif,34.18,35.54,35.0,0.005032,0.003422,55.7,1
021618_22 green_LineProfile_7.tif,1.086,2.966,2.0,0.003418,0.003214,27.54,1
021618_22 green_LineProfile_8.tif,3.247,17.42,7.0,0.006239,0.04437,51.68,2
021618_23 green_LineProfile_1.tif,2.084,107.0,89.0,0.4785,27.87,99.81,1
021618_23 green_LineProfile_2.tif,1.791,109.0,93.0,0.3277,22.79,100.0,1
021618_23 green_LineProfile_3.tif,1.808,109.0,93.0,0.1644,11.73,100.0,1
021618_23 green_LineProfile_4.tif,1.358,109.0,38.0,0.105,7.722,100.0,1
