,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
021518_16 green_LineProfile_2.tif,,,,,,,1
021518_16 green_LineProfile_3.tif,35.09,36.22,36.0,0.01373,0.007792,51.65,2
021518_16 green_LineProfile_4.tif,72.73,73.12,73.0,0.004599,0.0009016,50.47,3
021518_16 green_LineProfile_5.tif,35.55,36.26,36.0,0.0044,0.001548,71.72,2
021518_16 green_LineProfile_6.tif,37.53,39.26,38.0,0.003172,0.00366,29.29,7
021518_16 green_LineProfile_7.tif,1.0,9.807,4.0,0.01352,0.04811,24.5,1
021518_17 green_LineProfile_4.tif,23.44,88.3,32.0,0.1042,4.549,75.7,4
021518_17 green_LineProfile_5.tif,11.24,58.77,29.0,0.07266,2.475,55.95,3
021518_17 green_LineProfile_6.tif,10.52,41.72,17.0,0.04244,0.7394,38.2,1
021518_17 green_LineProfile_7.tif,10.18,102.0,78.0,0.08155,4.819,100.0,1
021518_17 green_LineProfile_8.tif,9.384,102.0,67.0,0.06419,4.355,100.0,2
021518_18 green_LineProfile_4.tif,3.041,103.0,46.0,0.1729,15.63,100.0,1
021518_18 green_LineProfile_5.tif,3.164,103.0,42.0,0.07699,6.351,100.0,1
021518_18 green_LineProfile_6.tif,3.316,12.88,5.0,0.02343,0.1619,20.05,1
021518_18 green_LineProfile_7.tif,3.111,4.611,4.0,0.01303,0.009776,83.86,2
021518_18 green_LineProfile_8.tif,1.0,2.304,2.0,0.001933,0.002139,100.0,1
021518_110 green_LineProfile_2.tif,29.07,33.71,30.0,0.03693,0.08399,36.97,5
021518_110 green_LineProfile_3.tif,18.59,21.58,20.0,0.03835,0.07544,35.02,5
021518_110 green_LineProfile_4.tif,66.89,71.2,68.0,0.01192,0.03086,20.06,15
021518_110 green_LineProfile_5.tif,1.0,2.906,1.0,0.01889,0.02594,62.19,1
021518_110 green_LineProfile_6.tif,107.6,108.3,108.0,0.01266,0.004561,27.81,9
021518_110 green_LineProfile_7.tif,10.88,11.11,11.0,0.006334,0.0007269,100.0,1
021518_110 green_LineProfile_8.tif,1.0,4.922,4.0,0.05064,0.08172,14.0,1
021518_111 green_LineProfile_2.tif,68.0,99.61,96.0,0.04313,0.8193,40.3,17
021518_111 green_LineProfile_3.tif,9.256,14.92,11.0,0.1078,0.3466,48.99,2
021518_111 green_LineProfile_4.tif,32.48,36.36,34.0,0.03174,0.04677,31.94,8
021518_111 green_LineProfile_5.tif,28.36,29.8,29.0,0.05156,0.03722,27.38,6
021518_111 green_LineProfile_6.tif,14.07,17.48,15.0,0.0384,0.05079,26.87,5
021518_111 green_LineProfile_7.tif,9.043,15.9,15.0,0.0935,0.2968,80.98,4
021518_111 green_LineProfile_8.tif,9.244,15.94,15.0,0.0383,0.1377,35.32,5
021518_112 green_LineProfile_1.tif,18.01,38.71,26.0,0.2157,3.095,55.63,7
021518_112 green_LineProfile_2.tif,11.34,47.34,42.0,0.1229,2.814,63.85,5
021518_112 green_LineProfile_3.tif,14.68,45.88,28.0,0.0636,1.203,76.51,2
021518_112 green_LineProfile_4.tif,20.11,38.95,30.0,0.0426,0.4515,49.24,7
021518_112 green_LineProfile_5.tif,26.04,38.83,37.0,0.03556,0.2618,25.68,7
021518_112 green_LineProfile_6.tif,31.69,47.05,34.0,0.02861,0.2011,21.8,7
021518_112 green_LineProfile_7.tif,33.02,47.32,43.0,0.02826,0.1786,29.72,11
021518_112 green_LineProfile_8.tif,35.74,39.98,39.0,0.01659,0.02455,21.93,7
052217_12 green_LineProfile_1.tif,2.097,5.713,5.0,0.07562,0.1863,14.48,1
052217_12 green_LineProfile_2.tif,65.85,72.62,68.0,0.05133,0.1913,16.58,13
052217_12 green_LineProfile_3.tif,65.96,69.6,68.0,0.04594,0.0802,11.91,13
052217_12 green_LineProfile_4.tif,52.84,55.92,55.0,0.04242,0.06204,13.64,10
052217_12 green_LineProfile_5.tif,52.62,56.1,55.0,0.05516,0.1047,19.33,10
052217_12 green_LineProfile_6.tif,52.59,56.17,55.0,0.03045,0.05032,16.34,9
052217_12 green_LineProfile_7.tif,52.59,56.18,55.0,0.02609,0.04196,15.38,8
052217_12 green_LineProfile_8.tif,78.24,80.42,79.0,0.01385,0.02093,23.21,11
052217_13 green_LineProfile_1.tif,61.17,72.62,67.0,0.02795,0.1717,48.49,8
052217_13 green_LineProfile_2.tif,61.29,68.53,62.0,0.02184,0.08416,28.06,10
052217_13 green_LineProfile_3.tif,61.14,72.89,63.0,0.03095,0.2078,42.86,11
052217_13 green_LineProfile_4.tif,60.56,72.85,71.0,0.02757,0.1903,28.01,13
052217_13 green_LineProfile_5.tif,44.12,85.0,57.0,0.05486,1.369,69.03,10
052217_13 green_LineProfile_6.tif,40.37,85.0,57.0,0.07263,2.026,72.52,9
052217_13 green_LineProfile_7.tif,40.25,85.0,58.0,0.07451,2.167,71.4,8
052217_14 green_LineProfile_1.tif,1.382,37.71,14.0,0.04847,0.5759,94.69,1
052217_14 green_LineProfile_2.tif,9.092,22.64,14.0,0.04177,0.2653,47.89,3
052217_14 green_LineProfile_3.tif,25.08,44.39,26.0,0.03586,0.2478,37.17,6
052217_14 green_LineProfile_4.tif,24.13,45.36,34.0,0.02476,0.2775,50.06,7
052217_14 green_LineProfile_5.tif,9.056,45.73,26.0,0.03327,0.6637,71.09,3
052217_14 green_LineProfile_6.tif,9.143,62.47,26.0,0.04191,1.174,89.99,3
052217_14 green_LineProfile_7.tif,24.02,78.62,54.0,0.06765,2.114,84.58,7
052217_14 green_LineProfile_8.tif,24.19,83.0,59.0,0.08966,2.903,93.12,7
052217_16 green_LineProfile_1.tif,22.16,62.94,57.0,0.04459,0.873,85.42,2
052217_16 green_LineProfile_2.tif,37.29,46.91,41.0,0.01569,0.1078,35.26,3
052217_16 green_LineProfile_3.tif,55.08,59.49,56.0,0.01779,0.0447,31.01,4
052217_16 green_LineProfile_4.tif,37.04,46.19,41.0,0.04196,0.1665,52.23,5
052217_16 green_LineProfile_5.tif,74.84,81.29,77.0,0.01847,0.06065,38.01,12
052217_16 green_LineProfile_6.tif,25.51,65.73,37.0,0.03256,0.6036,88.5,3
052217_16 green_LineProfile_7.tif,25.46,39.83,32.0,0.02394,0.2591,47.43,4
052217_16 green_LineProfile_8.tif,46.0,66.63,57.0,0.05754,0.4614,46.33,4
052217_17 green_LineProfile_1.tif,39.31,40.59,40.0,0.008691,0.005568,24.11,2
052217_17 green_LineProfile_2.tif,49.82,51.19,51.0,0.009677,0.007504,58.79,4
052217_17 green_LineProfile_3.tif,4.933,5.094,5.0,0.00153,0.0001227,100.0,1
052217_17 green_LineProfile_4.tif,1.686,2.08,2.0,0.003364,0.0006619,100.0,1
052217_17 green_LineProfile_5.tif,1.5,2.052,2.0,0.001957,0.00054,89.77,1
052217_17 green_LineProfile_6.tif,64.22,65.78,65.0,0.009473,0.007384,53.48,5
052217_17 green_LineProfile_7.tif,50.85,54.67,54.0,0.01595,0.02461,12.41,10
052217_18 green_LineProfile_1.tif,71.33,78.51,73.0,0.173,0.3905,95.65,9
052217_18 green_LineProfile_2.tif,68.38,78.62,73.0,0.05781,0.203,97.22,6
052217_18 green_LineProfile_3.tif,71.05,77.88,74.0,0.04535,0.1739,59.1,12
052217_18 green_LineProfile_4.tif,69.11,76.8,73.0,0.04735,0.1659,88.8,9
052217_18 green_LineProfile_5.tif,71.38,76.45,74.0,0.03972,0.1259,86.95,4
052217_18 green_LineProfile_6.tif,67.26,77.94,70.0,0.02719,0.1661,96.68,5
052217_18 green_LineProfile_7.tif,71.88,75.93,75.0,0.04013,0.1047,75.01,10
052217_18 green_LineProfile_8.tif,70.75,80.0,75.0,0.03691,0.1722,46.42,12
053117_112 green_LineProfile_1.tif,3.054,67.76,38.0,0.2356,9.19,87.67,2
