,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
021518_16 green_LineProfile_2.tif,,,,,,,1
021518_16 green_LineProfile_3.tif,34.09,35.22,35.0,0.01373,0.007792,51.65,2
021518_16 green_LineProfile_4.tif,71.73,72.12,72.0,0.004599,0.0009016,50.47,3
021518_16 green_LineProfile_5.tif,34.55,35.26,35.0,0.0044,0.001548,71.72,2
021518_16 green_LineProfile_6.tif,36.53,38.26,37.0,0.003172,0.00366,29.33,6
021518_16 green_LineProfile_7.tif,1.0,8.807,3.0,0.01352,0.04714,24.12,1
021518_17 green_LineProfile_4.tif,22.44,87.3,31.0,0.1042,4.549,75.7,3
021518_17 green_LineProfile_5.tif,10.24,57.77,28.0,0.07266,2.475,55.95,3
021518_17 green_LineProfile_6.tif,9.519,40.72,16.0,0.04244,0.7394,38.2,1
021518_17 green_LineProfile_7.tif,9.181,101.0,77.0,0.08155,4.819,100.0,1
021518_17 green_LineProfile_8.tif,8.384,101.0,66.0,0.06419,4.355,100.0,2
021518_18 green_LineProfile_4.tif,2.041,102.0,45.0,0.1729,15.63,100.0,1
021518_18 green_LineProfile_5.tif,2.164,102.0,41.0,0.07699,6.351,100.0,1
021518_18 green_LineProfile_6.tif,2.316,11.88,4.0,0.02343,0.1619,20.05,1
021518_18 green_LineProfile_7.tif,2.111,3.611,3.0,0.01303,0.009776,94.98,2
021518_18 green_LineProfile_8.tif,1.0,1.304,1.0,0.001933,0.0002941,100.0,1
021518_110 green_LineProfile_2.tif,28.07,32.71,29.0,0.03693,0.08399,36.97,5
021518_110 green_LineProfile_3.tif,17.59,20.58,19.0,0.03835,0.07544,35.19,4
021518_110 green_LineProfile_4.tif,65.89,70.2,67.0,0.01192,0.03086,22.57,15
021518_110 green_LineProfile_5.tif,1.0,1.906,1.0,0.01731,0.007841,33.21,1
021518_110 green_LineProfile_6.tif,106.6,107.3,107.0,0.01266,0.004561,28.35,9
021518_110 green_LineProfile_7.tif,9.881,10.11,10.0,0.006334,0.0007269,100.0,1
021518_110 green_LineProfile_8.tif,1.0,3.922,3.0,0.05064,0.06759,11.86,1
021518_111 green_LineProfile_2.tif,67.0,98.61,95.0,0.04313,0.8193,40.01,17
021518_111 green_LineProfile_3.tif,8.256,13.92,10.0,0.1078,0.3466,50.69,2
021518_111 green_LineProfile_4.tif,31.48,35.36,33.0,0.03174,0.04677,34.54,8
021518_111 green_LineProfile_5.tif,27.36,28.8,28.0,0.05156,0.03722,27.94,6
