,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
011017_12green_LineProfile_2.tif,1.823,3.048,2,0.01311,0.01023,52.07,1
011017_12green_LineProfile_3.tif,24.18,39.48,33,0.05812,0.4715,31.78,4
011017_12 green_LineProfile_4.tif,83.9,85.08,84,0.01423,0.01263,64.96,3
011017_12 green_LineProfile_5.tif,27.74,36.35,31,0.03029,0.1534,17.84,7
011017_12 green_LineProfile_7.tif,76.49,82.3,77,0.02586,0.08623,25.12,18
011017_13 green_LineProfile_3.tif,47.43,72.46,59,0.05691,0.7595,44.55,9
011017_13 green_LineProfile_4.tif,51.34,65.06,59,0.04507,0.2999,32.74,10
011017_13 green_LineProfile_5.tif,15.11,20.32,18,0.02933,0.08456,24.51,6
011017_13 green_LineProfile_6.tif,17.25,56.96,27,0.06674,1.411,57.02,5
011017_13green_LineProfile_7.tif,47.2,85.85,69,0.1073,2.529,64.5,7
011017_13 green_LineProfile_8.tif,17.5,43.33,35,0.07768,1.194,52.5,4
011017_14green_LineProfile_2.tif,1,87,37,0.2616,17.99,100,1
011017_14 green_LineProfile_3.tif,1,87,33,0.2099,14.29,100,1
011017_14 green_LineProfile_4.tif,1,87,7,0.1447,8.054,100,1
011017_14 green_LineProfile_5.tif,1,87,32,0.1404,8.578,100,1
011017_14 green_LineProfile_6.tif,1,56.54,36,0.07687,2.387,66.93,1
011117_12 green_LineProfile_4.tif,45.66,87,57,0.2687,9.347,95.31,9
011117_12 green_LineProfile_5.tif,45.66,87,59,0.2374,8.647,94.26,9
011117_12 green_LineProfile_6.tif,45.66,87,60,0.253,9.304,93.51,10
011117_12green_LineProfile_7.tif,45.61,87,57,0.3412,13.01,94.66,10
011117_12 green_LineProfile_8.tif,45.59,87,57,0.2899,10.21,94.01,10
011117_14green_LineProfile_4.tif,40.27,67.04,55,0.1319,2.274,74.36,5
011117_14 green_LineProfile_5.tif,25.33,66.89,53,0.1249,2.598,91.69,2
011117_14 green_LineProfile_6.tif,34.14,66.89,51,0.06598,1.184,88.41,5
011117_14 green_LineProfile_7.tif,40.01,66.5,53,0.06833,1.123,71.85,6
011117_14 green_LineProfile_8.tif,40.81,65,51,0.1258,1.776,69.51,5
011217_16 green_LineProfile_1.tif,6.139,19.73,13,0.02315,0.1393,48.09,2
011217_16 green_LineProfile_2.tif,10.7,19.73,19,0.02596,0.1057,38.91,2
011217_16 green_LineProfile_3.tif,10.37,19.64,16,0.01881,0.1024,34.39,4
011217_16 green_LineProfile_4.tif,7.052,22.85,16,0.02344,0.1744,49.18,2
011217_16 green_LineProfile_5.tif,13.11,19.84,16,0.01986,0.05668,38.94,3
