,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
031418_12 green_LineProfile_1.tif,68.06,105.0,88.0,0.557,12.06,60.26,2
031418_12 green_LineProfile_2.tif,67.17,105.0,84.0,0.3065,7.137,60.04,2
031418_12 green_LineProfile_3.tif,67.75,105.0,85.0,0.1921,4.647,59.34,2
031418_12 green_LineProfile_4.tif,65.95,88.58,85.0,0.05352,0.901,44.88,2
031418_12 green_LineProfile_5.tif,22.97,44.42,40.0,0.1018,1.673,42.56,1
031418_12 green_LineProfile_6.tif,23.83,41.52,27.0,0.03909,0.3911,43.19,1
031418_12 green_LineProfile_7.tif,91.63,105.0,93.0,0.1303,0.4723,52.76,8
031418_12 green_LineProfile_8.tif,93.43,105.0,95.0,0.02368,0.2131,76.94,5
031418_13 green_LineProfile_1.tif,22.27,49.24,38.0,0.08242,1.594,53.79,1
031418_13 green_LineProfile_2.tif,22.25,48.87,32.0,0.07904,1.487,54.12,1
031418_13 green_LineProfile_3.tif,21.99,48.91,31.0,0.04789,0.9903,59.33,1
031418_13 green_LineProfile_4.tif,22.49,48.57,31.0,0.1177,2.285,54.03,1
031418_13 green_LineProfile_5.tif,22.08,48.69,32.0,0.0656,1.179,53.12,1
031418_13 green_LineProfile_6.tif,22.26,48.79,32.0,0.05258,1.005,53.32,1
031418_13 green_LineProfile_7.tif,22.53,48.89,32.0,0.03935,0.7451,54.41,1
031418_13 green_LineProfile_8.tif,23.39,35.65,29.0,0.01116,0.07198,38.4,1
031418_14 green_LineProfile_1.tif,13.26,68.73,27.0,0.1463,3.921,95.53,2
031418_14 green_LineProfile_2.tif,12.8,68.88,29.0,0.06438,2.588,92.32,3
031418_14 green_LineProfile_3.tif,14.09,65.26,23.0,0.05726,1.262,98.06,3
031418_14 green_LineProfile_4.tif,28.71,67.49,39.0,0.01774,0.4114,96.44,6
031418_14 green_LineProfile_5.tif,54.0,58.63,55.0,0.007444,0.02108,15.57,11
031418_14 green_LineProfile_6.tif,27.98,91.1,33.0,0.0878,2.159,86.86,6
031418_14 green_LineProfile_7.tif,28.37,98.94,31.0,0.08295,2.5,82.47,3
031418_14 green_LineProfile_8.tif,7.877,8.055,8.0,0.000424,3.766e-05,100.0,1
031418_17 green_LineProfile_1.tif,74.03,79.65,77.0,0.02253,0.07955,64.09,2
031418_17 green_LineProfile_2.tif,25.59,27.37,27.0,0.01043,0.01166,100.0,1
031418_17 green_LineProfile_3.tif,26.51,27.23,27.0,0.004479,0.001624,100.0,1
031418_17 green_LineProfile_4.tif,69.66,82.0,72.0,0.02445,0.2274,100.0,1
031418_17 green_LineProfile_5.tif,10.99,25.24,17.0,0.02731,0.2211,79.66,2
031418_17 green_LineProfile_6.tif,43.44,60.93,49.0,0.03446,0.2123,46.49,4
031418_17 green_LineProfile_7.tif,25.21,82.0,31.0,0.1034,3.724,100.0,1
031418_17 green_LineProfile_8.tif,25.5,71.73,38.0,0.2597,3.733,97.09,1
031418_18 green_LineProfile_1.tif,60.96,71.64,67.0,0.01622,0.0601,53.92,3
031418_18 green_LineProfile_2.tif,19.91,22.65,22.0,0.01358,0.01595,32.74,2
031418_18 green_LineProfile_3.tif,12.78,15.65,15.0,0.01628,0.02795,59.69,1
031418_18 green_LineProfile_4.tif,1.292,2.136,2.0,0.002259,0.0009541,77.52,1
031418_18 green_LineProfile_5.tif,1.0,24.45,12.0,0.05163,0.8234,99.98,1
031418_18 green_LineProfile_6.tif,43.78,44.53,44.0,0.005864,0.002194,42.04,4
031418_18 green_LineProfile_7.tif,24.49,65.2,49.0,0.05022,1.338,99.67,2
031418_18 green_LineProfile_8.tif,25.52,64.52,35.0,0.09121,1.377,98.56,3
031418_19 green_LineProfile_1.tif,22.72,30.45,29.0,0.02765,0.1479,100.0,1
031418_19 green_LineProfile_2.tif,70.3,75.4,73.0,0.05045,0.1689,59.03,3
031418_19 green_LineProfile_3.tif,67.44,81.0,69.0,0.01364,0.1013,83.91,6
031418_19 green_LineProfile_4.tif,22.06,25.34,23.0,0.0108,0.02123,100.0,1
031418_19 green_LineProfile_5.tif,20.3,22.23,21.0,0.01021,0.01257,28.32,5
031418_19 green_LineProfile_6.tif,5.155,8.636,8.0,0.02102,0.02868,35.97,2
031418_19 green_LineProfile_7.tif,25.13,81.0,32.0,0.08123,2.981,98.57,2
031418_19 green_LineProfile_8.tif,22.84,81.0,41.0,0.123,4.343,100.0,1
031418_112 green_LineProfile_2.tif,28.57,45.68,38.0,0.07731,0.6103,80.17,2
031418_112 green_LineProfile_3.tif,14.22,31.57,30.0,0.03248,0.2466,24.9,4
031418_112 green_LineProfile_4.tif,44.7,105.0,66.0,0.1054,2.233,69.16,4
