,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
031318_16 green_LineProfile_2.tif,1.0,82.0,66.0,0.3869,23.47,100.0,1
031318_16 green_LineProfile_3.tif,1.0,82.0,62.0,0.3792,22.99,100.0,1
031318_16 green_LineProfile_4.tif,1.0,82.0,62.0,0.344,17.49,100.0,1
031318_16 green_LineProfile_5.tif,1.0,82.0,64.0,0.2811,16.13,100.0,1
031318_16 green_LineProfile_6.tif,1.0,82.0,62.0,0.2515,12.96,100.0,1
031318_16 green_LineProfile_7.tif,1.0,82.0,70.0,0.2721,13.78,100.0,1
031318_17 green_LineProfile_1.tif,1.0,62.8,31.0,0.2426,9.501,100.0,1
031318_17 green_LineProfile_2.tif,1.0,62.73,19.0,0.2299,8.613,99.95,1
031318_17 green_LineProfile_3.tif,1.0,47.95,19.0,0.2575,7.099,95.0,1
031318_17 green_LineProfile_4.tif,1.0,62.69,31.0,0.1798,5.946,100.0,1
031318_17 green_LineProfile_5.tif,1.0,63.6,31.0,0.1432,5.327,99.99,1
031318_17 green_LineProfile_6.tif,10.02,75.77,44.0,0.2038,6.519,98.92,3
031318_17 green_LineProfile_7.tif,1.885,76.83,49.0,0.2282,7.275,99.81,1
031318_17 green_LineProfile_8.tif,1.0,71.07,49.0,0.2166,7.944,99.91,1
031318_18 green_LineProfile_1.tif,4.247,5.845,5.0,0.04012,0.03205,57.62,2
031318_18 green_LineProfile_2.tif,1.0,2.899,2.0,0.03277,0.03611,59.77,1
031318_18 green_LineProfile_3.tif,4.366,5.729,5.0,0.08114,0.05531,47.43,2
031318_18 green_LineProfile_4.tif,1.166,2.734,2.0,0.0473,0.03708,53.14,1
031318_18 green_LineProfile_5.tif,4.336,5.778,5.0,0.03286,0.02369,46.21,2
031318_18 green_LineProfile_6.tif,4.415,5.718,5.0,0.03002,0.01955,59.0,2
031318_18 green_LineProfile_7.tif,1.28,2.626,2.0,0.03068,0.02065,63.07,1
031818_23 green_LineProfile_1.tif,85.69,115.0,107.0,0.01754,0.335,72.19,5
031818_23 green_LineProfile_2.tif,85.02,115.0,107.0,0.02991,0.5978,70.6,4
031818_23 green_LineProfile_3.tif,84.1,115.0,107.0,0.04126,0.7751,61.93,4
031818_23 green_LineProfile_4.tif,87.77,115.0,105.0,0.02604,0.4647,62.47,5
031818_23 green_LineProfile_5.tif,82.38,115.0,107.0,0.02808,0.5549,60.69,5
031818_23 green_LineProfile_6.tif,86.32,115.0,101.0,0.03529,0.6631,69.21,6
031818_23 green_LineProfile_7.tif,86.59,115.0,106.0,0.04638,0.896,66.45,5
031818_23 green_LineProfile_8.tif,87.3,115.0,105.0,0.05695,1.037,67.38,3
031818_24 green_LineProfile_1.tif,95.82,109.4,104.0,0.009364,0.06542,57.73,10
031818_24 green_LineProfile_2.tif,50.71,66.22,58.0,0.02228,0.2023,40.59,4
031818_24 green_LineProfile_3.tif,23.16,36.39,27.0,0.02596,0.2024,45.3,3
031818_24 green_LineProfile_4.tif,100.8,109.2,104.0,0.009867,0.04809,70.2,2
031818_24 green_LineProfile_5.tif,103.2,108.7,106.0,0.01425,0.04492,64.15,2
